stock_name,period_end_date,type,category,sub_category,value
Bank BCA,2022-12-31,Assets,"Other Assets, Total",Other Assets,22821054
Bank BCA,2022-12-31,Assets,Fixed Assets,"Goodwill, Net",1158201
Bank BCA,2022-12-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",24709372
Bank BCA,2022-12-31,Assets,Current Assets,Cash and Due from Banks,161598872
Bank BCA,2022-12-31,Assets,Current Assets,Other Earning Assets,429696227
Bank BCA,2022-12-31,Assets,Fixed Assets,"Other Long Term Assets, Total",7321331
Bank BCA,2022-12-31,Assets,Non-Current Assets,Net Loans,676420877
Bank BCA,2022-12-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),1824992
Bank BCA,2022-12-31,Equities,Retained Earnings,Retained Earnings,200960243
Bank BCA,2022-12-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,5548977
Bank BCA,2022-12-31,Equities,"Other Equity, Total",Other Equity,5548977
Bank BCA,2022-12-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2022-12-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",9666648
Bank BCA,2022-12-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,9740
Bank BCA,2022-12-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,709909
Bank BCA,2022-12-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",2373869
Bank BCA,2022-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,11342847
Bank BCA,2022-12-31,Liabilities,Current Liabilities,Total Short Term Borrowings,255962
Bank BCA,2022-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,11342847
Bank BCA,2022-12-31,Liabilities,Current Liabilities,Accrued Expenses,20429778
Bank BCA,2022-12-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2022-12-31,Liabilities,Current Liabilities,Total Deposits,1047654224
Bank BCA,2022-09-30,Assets,"Other Assets, Total",Other Assets,24972922
Bank BCA,2022-09-30,Assets,Fixed Assets,"Goodwill, Net",1158201
Bank BCA,2022-09-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",22018438
Bank BCA,2022-09-30,Assets,Current Assets,Cash and Due from Banks,156220958
Bank BCA,2022-09-30,Assets,Current Assets,Other Earning Assets,420006414
Bank BCA,2022-09-30,Assets,Fixed Assets,"Other Long Term Assets, Total",7307423
Bank BCA,2022-09-30,Assets,Non-Current Assets,Net Loans,645288866
Bank BCA,2022-09-30,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),1173290
Bank BCA,2022-09-30,Equities,Retained Earnings,Retained Earnings,193746903
Bank BCA,2022-09-30,Equities,Additional Paid-In Capital,Additional Paid-In Capital,5548977
Bank BCA,2022-09-30,Equities,"Other Equity, Total",Other Equity,5548977
Bank BCA,2022-09-30,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2022-09-30,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",9152066
Bank BCA,2022-09-30,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2022-09-30,Liabilities,Non-Current Liabilities,Total Long Term Debt,1428108
Bank BCA,2022-09-30,Liabilities,Current Liabilities,"Other Current Liabilities, Total",1951506
Bank BCA,2022-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,11714667
Bank BCA,2022-09-30,Liabilities,Current Liabilities,Total Short Term Borrowings,254991
Bank BCA,2022-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,11714667
Bank BCA,2022-09-30,Liabilities,Current Liabilities,Accrued Expenses,18902930
Bank BCA,2022-09-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2022-09-30,Liabilities,Current Liabilities,Total Deposits,1032745610
Bank BCA,2022-06-30,Assets,"Other Assets, Total",Other Assets,22454439
Bank BCA,2022-06-30,Assets,Fixed Assets,"Goodwill, Net",1158201
Bank BCA,2022-06-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",21993249
Bank BCA,2022-06-30,Assets,Current Assets,Cash and Due from Banks,228783449
Bank BCA,2022-06-30,Assets,Current Assets,Other Earning Assets,390754173
Bank BCA,2022-06-30,Assets,Fixed Assets,"Other Long Term Assets, Total",6712600
