Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-08-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-04-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-07-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-06-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-03-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-05-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-11-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-10-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-09-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2013-12-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-08-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-04-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-12-01,100000
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-07-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-06-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-03-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-05-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-11-01,100000
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-10-01,100000
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2014-09-01,0
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2015-01-01,153302
Komitmen & Kontinjensi,Lainnya,Lainnya,Lainnya,2015-02-01,-21453
Komitmen & Kontinjensi,Lainnya  ,Lainnya  ,Lainnya  ,2013-08-01,0
Komitmen & Kontinjensi,Lainnya  ,Lainnya  ,Lainnya  ,2013-08-01,1414
Komitmen & Kontinjensi,Lainnya  ,Lainnya  ,Lainnya  ,2013-04-01,0
Komitmen & Kontinjensi,Lainnya  ,Lainnya  ,Lainnya  ,2013-04-01,1414
Komitmen & Kontinjensi,Lainnya  ,Lainnya  ,Lainnya  ,2013-07-01,0
Komitmen & Kontinjensi,Lainnya  ,Lainnya  ,Lainnya  ,2013-07-01,1414
