Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-08-01,546810
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-04-01,244205
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-07-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-06-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-03-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-05-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-11-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-10-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-09-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2013-12-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-08-01,709871
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-04-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-12-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-07-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-06-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-03-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-05-01,1611017
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-11-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-10-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2014-09-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2015-01-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Rupiah,2015-02-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-08-01,159
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-04-01,72
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-07-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-06-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-03-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-05-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-11-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-10-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-09-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2013-12-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-08-01,225
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-04-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-12-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-07-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-06-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-03-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-05-01,59
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-11-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-10-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2014-09-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2015-01-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga,Valuta Asing,2015-02-01,0
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-08-01,1548082
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-04-01,729937
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-07-01,1318786
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-06-01,1106477
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-03-01,547931
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-05-01,922694
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-11-01,2230157
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-10-01,1998430
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-09-01,1767728
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2013-12-01,2468384
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2014-08-01,1866773
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2014-04-01,953133
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2014-12-01,2912036
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2014-07-01,1657388
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Beban Bunga, Pendapatan (Beban) Bunga bersih,2014-06-01,1387349
