Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Neraca,Aset,Kas,Kas,2013-08-01,1606800
Neraca,Aset,Kas,Kas,2013-04-01,1540751
Neraca,Aset,Kas,Kas,2013-07-01,1915756
Neraca,Aset,Kas,Kas,2013-06-01,1683160
Neraca,Aset,Kas,Kas,2013-03-01,1488743
Neraca,Aset,Kas,Kas,2013-05-01,1569265
Neraca,Aset,Kas,Kas,2013-11-01,1622907
Neraca,Aset,Kas,Kas,2013-10-01,1658712
Neraca,Aset,Kas,Kas,2013-09-01,1612042
Neraca,Aset,Kas,Kas,2013-12-01,2319648
Neraca,Aset,Kas,Kas,2014-08-01,1606800
Neraca,Aset,Kas,Kas,2014-04-01,1615961
Neraca,Aset,Kas,Kas,2014-12-01,1888527
Neraca,Aset,Kas,Kas,2014-07-01,1877206
Neraca,Aset,Kas,Kas,2014-06-01,1736110
Neraca,Aset,Kas,Kas,2014-03-01,1522808
Neraca,Aset,Kas,Kas,2014-05-01,1530315
Neraca,Aset,Kas,Kas,2014-11-01,1525782
Neraca,Aset,Kas,Kas,2014-10-01,1524648
Neraca,Aset,Kas,Kas,2014-09-01,1510290
Neraca,Aset,Kas,Kas,2015-01-01,1434558
Neraca,Aset,Kas,Kas,2015-02-01,1471877
Neraca,Liabilitas,Giro,Giro,2013-08-01,11944443
Neraca,Liabilitas,Giro,Giro,2013-04-01,12715229
Neraca,Liabilitas,Giro,Giro,2013-07-01,10870912
Neraca,Liabilitas,Giro,Giro,2013-06-01,12066554
Neraca,Liabilitas,Giro,Giro,2013-03-01,12093455
Neraca,Liabilitas,Giro,Giro,2013-05-01,12080745
Neraca,Liabilitas,Giro,Giro,2013-11-01,12601527
Neraca,Liabilitas,Giro,Giro,2013-10-01,10821091
Neraca,Liabilitas,Giro,Giro,2013-09-01,12635118
Neraca,Liabilitas,Giro,Giro,2013-12-01,9950655
Neraca,Liabilitas,Giro,Giro,2014-08-01,11944443
Neraca,Liabilitas,Giro,Giro,2014-04-01,13414791
Neraca,Liabilitas,Giro,Giro,2014-12-01,11614882
Neraca,Liabilitas,Giro,Giro,2014-07-01,9122837
Neraca,Liabilitas,Giro,Giro,2014-06-01,16395245
Neraca,Liabilitas,Giro,Giro,2014-03-01,11677789
Neraca,Liabilitas,Giro,Giro,2014-05-01,14009693
Neraca,Liabilitas,Giro,Giro,2014-11-01,16942708
Neraca,Liabilitas,Giro,Giro,2014-10-01,16194568
Neraca,Liabilitas,Giro,Giro,2014-09-01,15414799
Neraca,Liabilitas,Giro,Giro,2015-01-01,14712345
Neraca,Liabilitas,Giro,Giro,2015-02-01,13728454
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-08-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-04-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-07-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-06-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-03-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-05-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-11-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-10-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-09-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2013-12-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-08-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-04-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-12-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-07-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-06-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-03-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-05-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-11-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-10-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2014-09-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2015-01-01,0
Neraca,Aset,Kredit,Tersedia untuk dijual,2015-02-01,0
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-08-01,0
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-04-01,0
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-07-01,2428847
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-06-01,2079712
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-03-01,1269714
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-05-01,1615800
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-11-01,2946432
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-10-01,2654781
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-09-01,2508338
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2013-12-01,2924967
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-08-01,0
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-04-01,2841357
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-12-01,3344136
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-07-01,2154078
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-06-01,2399887
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-03-01,2813059
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-05-01,2791244
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-11-01,3466431
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-10-01,3288573
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2014-09-01,2376714
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2015-01-01,3254771
Neraca,Aset,Kredit,Dimiliki hingga jatuh tempo,2015-02-01,3318149
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-08-01,25011716
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-04-01,19104345
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-07-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-06-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-03-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-05-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-11-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-10-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-09-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2013-12-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-08-01,25011716
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-04-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-12-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-07-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-06-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-03-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-05-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-11-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-10-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2014-09-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2015-01-01,0
Neraca,Aset,Kredit,Pinjaman yang diberikan dan piutang,2015-02-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-08-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-04-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-07-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-06-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-03-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-05-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-11-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-10-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-09-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2013-12-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-08-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-04-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-12-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-07-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-06-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-03-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-05-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-11-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-10-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2014-09-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2015-01-01,0
Neraca,Aset,Kredit,Diukur pada nilai wajar melalui laporan laba/rugi,2015-02-01,0
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-08-01,865761
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-04-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-07-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-06-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-03-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-05-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-11-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-10-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-09-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2013-12-01,655562
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-08-01,865761
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-04-01,865762
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-12-01,865763
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-07-01,865761
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-06-01,865761
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-03-01,865762
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-05-01,865761
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-11-01,865760
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-10-01,865761
Neraca,Ekuitas,Cadangan,Cadangan Umum,2014-09-01,865763
Neraca,Ekuitas,Cadangan,Cadangan Umum,2015-01-01,865762
Neraca,Ekuitas,Cadangan,Cadangan Umum,2015-02-01,865762
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-08-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-04-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-07-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-06-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-03-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-05-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-11-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-10-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-09-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2013-12-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-08-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-04-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-12-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-07-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-06-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-03-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-05-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-11-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-10-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2014-09-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2015-01-01,0
Neraca,Ekuitas,Cadangan,Cadangan Tujuan,2015-02-01,0
