Tanggal,Laba_Rugi,LABA__RUGI_,LABA__RUGI__NON_OPERASIONAL,LABA__RUGI__TAHUN_BERJALAN,LABA__RUGI__OPERASIONAL,LABA__RUGI__BERSIH,PENDAPATAN__BEBAN__NON_OPERASIONAL,Keuntungan__kerugian__penjabaran_transaksi_valuta_asing,Keuntungan__kerugian__penjualan_aset_tetap_dan_inventaris,Pajak_Penghasilan,Pendapatan__beban__pajak_tangguhan,Taksiran_pajak_tahun_berjalan,Pendapatan__beban__non_operasional_lainnya,PENDAPATAN_DAN_BEBAN_OPERASIONAL,Beban_Bunga,Rupiah,Valuta_Asing,Beban_Operasional_Selain_Bunga,Beban_lainnya,Beban_promosi,Beban_tenaga_kerja,Kerugian_dari_penyertaan_dengan_equity_method,Kerugian_penjualan_aset_keuangan,Kerugian_penurunan_nilai_aset_keuangan__impairment_,Kerugian_penurunan_nilai_aset_lainnya__non_keuangan_,Kerugian_terkait_risiko_operasional,Kerugian_transaksi_spot_dan_derivatif__realised_,Komisi_provisi_fee_dan_administrasi,Pendapatan__Beban__Operasional_Selain_Bunga_Bersih,Peningkatan_nilai_wajar_kewajiban_keuangan___mark_to_market_,Penurunan_nilai_wajar_aset_keuangan__mark_to_market_,Pendapatan_Bunga,Rupiah_33,Valuta_Asing_34,Pendapatan_Operasional_Selain_Bunga,Dividen,Keuntungan_dari_penyertaan_dengan_equity_method,Keuntungan_penjualan_aset_keuangan,Keuntungan_transaksi_spot_dan_derivatif__realised_,Komisi_provisi_fee_dan_administrasi_40,Pemulihan_atas_cadangan_kerugian_penurunan_nilai,Pendapatan_lainnya,Peningkatan_nilai_wajar_aset_keuangan__mark_to_market_,Penurunan_nilai_wajar_liabilitas_keuangan___mark_to_market_,TRANSFER_LABA__RUGI__KE_KANTOR_PUSAT____
2014-07-01,,1720818,15375,860409,845034,612588,237062,-2242,0,221687,-13067,234754,17617,2185800,1657388,0,0,264206,367651,24232,407481,0,0,276119,0,0,0,1077,-812354,0,0,0,0,0,264206,0,0,0,0,122741,0,141465,0,0,
2015-01-01,,342282,23758,171141,147383,124767,106402,22657,0,82644,18135,64509,1101,342466,261966,0,0,40250,55311,738,36231,0,0,62352,0,0,37,114,-114583,0,50,0,0,0,40250,0,0,0,0,21994,3,17232,1021,0,
2015-02-01,,527338,25502,263669,238167,190472,138627,22665,0,113125,19964,93161,2837,656210,526894,0,0,64658,121628,2518,108569,0,0,120144,0,0,207,224,-288727,0,95,0,0,0,64658,0,0,0,0,36011,0,28148,499,0,
2013-03-01,1596538,601866,2158,300933,298775,218181,6020,289,0,3862,-39445,43307,1869,770471,547931,0,0,111270,124170,4281,146835,0,0,83441,0,0,0,1699,-249156,0,0,0,0,0,111270,0,0,0,0,51184,0,60086,0,0,0
2013-05-01,2792463,1034004,4169,517002,512833,376771,56222,769,1002,52053,-44089,96142,2398,1325466,922694,0,0,201386,216930,9989,233848,0,0,147834,0,15,0,2631,-409861,0,0,0,0,0,201386,3,0,0,0,90018,0,111365,0,0,0
2013-06-01,3292080,1185804,-561,592902,593463,428578,86461,1591,1022,87022,-38651,125673,-3174,1591237,1106477,0,0,242380,270337,13743,250774,0,0,217479,0,15,0,3046,-513014,0,0,0,0,0,242380,0,0,0,0,105569,0,136811,0,0,0
2013-07-01,3857210,1371680,1888,685840,683952,489376,125368,3754,1002,123480,-36492,159972,-2868,1870786,1318786,0,0,276000,326262,18392,315963,0,0,246749,0,27,0,3441,-634834,0,0,0,0,0,276000,0,0,0,0,116544,0,159456,0,0,0
2013-09-01,5253005,1897070,11838,948535,936697,681072,240353,13480,1002,228515,-19474,247989,-2644,2434510,1767728,0,0,333391,419177,25939,400541,0,0,314533,0,27,0,4205,-831031,0,0,0,0,0,333391,0,0,0,0,136083,0,197308,0,0,0
2013-10-01,5923076,2151642,12259,1075821,1063562,773678,278344,11877,1002,266085,-18029,284114,-620,2719412,1998430,0,0,360491,470172,32387,442180,0,0,346028,0,27,0,4565,-934868,0,0,0,0,0,360491,0,0,0,0,147872,0,212619,0,0,0
2013-11-01,6596091,2385956,14310,1192978,1178668,859997,328295,14503,1001,313985,-9498,323483,-1194,3021843,2230157,0,0,395843,521000,40751,489652,0,0,391176,0,27,0,4726,-1051489,0,0,0,0,0,395843,0,0,0,0,159396,27,236420,0,0,0
