Tanggal,Neraca,Aset,Aset_Lainnya,Aset_Non_Produktif,Aset_antarkantor_2_,Aset_yang_diambil_alih_,Properti_terbengkalai,Rekening_tunda,Aset_pajak_tangguhan_,Aset_tetap_dan_inventaris,Akumulasi_penyusutan_aset_tetap_dan_inventaris____,Aset_tidak_berwujud,Akumulasi_amortisasi_aset_tidak_berwujud____,Cadangan_kerugian_penurunan_nilai_aset_keuangan____,Kredit,Lainnya,Surat_berharga,Cadangan_kerugian_penurunan_nilai_aset_non_keuangan____,Kas,Kredit_20,Dimiliki_hingga_jatuh_tempo,Diukur_pada_nilai_wajar_melalui_laporan_laba_rugi,Pinjaman_yang_diberikan_dan_piutang,Tersedia_untuk_dijual,Pembiayaan_syariah,Penempatan_pada_Bank_Indonesia,Penempatan_pada_bank_lain,Penyertaan,Sewa_pembiayaan__,Surat_berharga_30,Dimiliki_hingga_jatuh_tempo_31,Diukur_pada_nilai_wajar_melalui_laporan_laba_rugi_32,Pinjaman_yang_diberikan_dan_piutang_33,Tersedia_untuk_dijual_34,Surat_berharga_yang_dijual_dengan_janji_dibeli_kembali__repo_,Tagihan_akseptasi,Tagihan_akseptasi_37,Tagihan_atas_surat_berharga_yang_dibeli_dengan_janji_dijual_kembali__reverse_repo_,Tagihan_spot_dan_derivatif,Total_Aset,Ekuitas,Cadangan,Cadangan_Tujuan,Cadangan_Umum,Laba_Rugi,Tahun_berjalan,Tahun_tahun_lalu,Modal_Disetor,Modal_dasar_,Modal_yang_belum_disetor____,Saham_yang_dibeli_kembali__treasury_stock_____,Modal_pinjaman_,Pendapatan__kerugian__komprehensif_lainnya,Lainnya_54,Penyesuaian_akibat_penjabaran_laporan_keuangan_dalam_mata_uang_asing,Selisih_penilaian_kembali_aset_tetap,Selisih_kuasi_reorganisasi,Selisih_restrukturisasi_entitas_sepengendali,Tambahan_Modal_Disetor,Agio,Dana_setoran_modal,Disagio____,Lainnya_63,Modal_sumbangan,Total_Ekuitas,Total_Ekuitas_66,Liabilitas,Dana_investasi_profit_sharing,Dana_investasi_revenue_sharing,Giro,Liabilitas_antar_kantor_2_,Melakukan_kegiatan_operasional_di_Indonesia,Melakukan_kegiatan_operasional_di_luar_Indonesia,Liabilitas_lainnya,Liabilitas_pajak_tangguhan,Liabilitas_spot_dan_derivatif,Pinjaman_dari_Bank_Indonesia,Pinjaman_dari_bank_lain,Pinjaman_yang_diterima,Setoran_jaminan,Simpanan_berjangka,Surat_berharga_yang_diterbitkan,Tabungan,Total_Liabilitas,Utang_akseptasi,Utang_atas_surat_berharga_yang_dijual_dengan_janji_dibeli_kembali__repo_,Liabilitas_dan_Ekuitas,Total_Liabilitas_dan_Ekuitas
2015-01-01,159050143,60675126,1165732,2575,0,0,0,2575,0,307035,307035,5656,5656,633727,633727,0,0,0,1434558,3254771,3254771,0,0,0,536081,3816037,5651149,0,0,3254771,3254771,0,0,0,0,0,0,0,0,40613034,23756740,865762,0,865762,1503240,124767,1378473,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,6607791,6607791,34005243,0,1077972,14712345,0,0,0,604981,29740,0,0,389667,317171,25591,7363843,0,9483933,,0,0,40613034,40613034
2015-02-01,159971722,60992342,1238310,1782,0,0,0,1782,0,310490,310490,5727,5727,688938,688938,0,0,0,1471877,3318149,3318149,0,0,0,583939,3390243,5750413,0,0,3349980,3318149,0,0,31831,0,0,0,0,131,40882363,23888150,865762,0,865762,1568945,190472,1378473,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,6673496,6673496,34208867,0,1096448,13728454,0,0,0,673468,27912,106,0,371741,317630,16120,8515624,0,9461364,,0,0,40882363,40882363
2014-09-01,165334975,63558272,756280,4708,0,0,0,4708,0,292053,292053,5399,5399,648970,648970,0,0,0,1510290,2376714,2376714,0,0,0,480994,4733978,6873797,0,0,2376714,2376714,0,0,0,0,0,0,804325,0,42694050,22236048,865763,0,865763,742893,742893,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5847445,5847445,36846605,0,903834,15414799,0,0,0,454047,59220,0,2,288612,317046,23667,10550833,0,8834545,,0,0,42694050,42694050
2014-12-01,147669187,54982889,713280,637,0,0,0,637,0,303585,303585,5585,5585,572529,572529,0,0,0,1888527,3344136,3344136,0,0,0,540096,3143778,3085375,0,0,3344136,3344136,0,0,0,0,0,0,0,0,38041225,22666538,865763,0,865763,958138,958138,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,6062690,6062690,31978535,0,1059513,11614882,0,0,0,698378,39064,0,3,611782,316984,42000,6718274,0,10877655,,0,0,38041225,38041225
2013-09-01,140228673,53094578,628475,2785,0,0,0,2785,0,252294,252294,3872,3872,362674,362674,0,0,0,1612042,2508338,2508338,0,0,0,300562,2152215,7254226,0,0,2508338,2508338,0,0,0,0,0,0,0,0,35508757,21692004,655562,0,655562,681072,681072,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5575423,5575423,29933334,0,244959,12635118,0,0,0,580465,69906,0,58,285646,313807,14030,8239387,0,7549958,,0,0,35508757,35508757
2013-10-01,137041173,51289623,647424,1359,0,0,0,1359,0,255786,255786,3966,3966,385386,385386,0,0,0,1658712,2654781,2654781,0,0,0,308726,2233631,5577687,0,0,2654781,2654781,0,0,0,0,0,0,136215,0,34771169,21877266,655562,0,655562,773703,773703,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5668054,5668054,29103115,0,253508,10821091,0,0,0,590940,68461,0,58,289716,319674,13263,8520452,0,8225952,,0,0,34771169,34771169
2013-12-01,131210144,48413414,644287,481,0,0,0,481,0,262789,262789,4267,4267,358079,358079,0,0,10,2319648,2924967,2924967,0,0,0,319072,2269719,3162939,0,0,2924967,2924967,0,0,0,0,0,0,0,0,33222189,22163546,655562,0,655562,916843,916843,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5811194,5811194,27410995,0,258974,9950655,0,0,0,668505,48967,0,58,314497,315787,75361,5892392,0,9885799,,0,0,33222189,33222189
2013-06-01,133512857,50143316,555392,673,0,0,0,673,0,242861,242861,3753,3753,312201,312201,0,0,0,1683160,2079712,2079712,0,0,0,302287,2140820,6802364,0,0,2258374,2079712,178662,0,0,0,0,0,8992,0,33752727,21187016,655562,0,655562,428578,428578,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5322929,5322929,28429798,0,249807,12066554,0,0,0,369206,89084,0,109,224623,313910,16885,8102208,0,6997412,,0,0,33752727,33752727
2013-11-01,144734106,55052031,672206,1140,0,0,0,1140,0,259244,259244,4060,4060,331036,331036,0,0,0,1622907,2946432,2946432,0,0,0,311610,2135538,6946201,0,0,2946432,2946432,0,0,0,0,0,0,181941,0,36693284,22049856,655562,0,655562,859998,859998,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5754349,5754349,30938935,0,244434,12601527,0,0,0,821666,59930,0,109,294269,314672,15322,8009587,0,8577419,,0,0,36693284,36693284
2013-05-01,135541266,51157430,623978,941,0,0,0,941,0,239881,239881,3753,3753,260308,260308,0,0,0,1569265,1615800,1615800,0,0,0,286653,2253459,8350813,0,0,1615800,1615800,0,0,0,0,0,0,51001,0,34285778,21083402,655562,0,655562,376771,376771,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5271122,5271122,29014656,0,244044,12080745,0,0,0,483273,50433,0,124,260332,314291,16942,8408358,0,7156114,,0,0,34285778,34285778
