Dates,variable,value
1999-01-01,Vietnam,0
2000-01-01,Vietnam,0
2001-01-01,Vietnam,0
2002-01-01,Vietnam,0
2003-01-01,Vietnam,0
2004-01-01,Vietnam,0
2005-01-01,Vietnam,0
2006-01-01,Vietnam,0
2007-01-01,Vietnam,0
2008-01-01,Vietnam,0
2009-01-01,Vietnam,0
2010-01-01,Vietnam,0
2011-01-01,Vietnam,0
2012-01-01,Vietnam,0
2013-01-01,Vietnam,0
2014-01-01,Vietnam,0
2015-01-01,Vietnam,0
2016-01-01,Vietnam,0
2017-01-01,Vietnam,0
2018-01-01,Vietnam,0
2019-01-01,Vietnam,0
2020-01-01,Vietnam,
1999-01-01,Malaysia,0
2000-01-01,Malaysia,0
2001-01-01,Malaysia,0
2002-01-01,Malaysia,0
2003-01-01,Malaysia,0
2004-01-01,Malaysia,0
2005-01-01,Malaysia,0
2006-01-01,Malaysia,0
2007-01-01,Malaysia,172.3648124
2008-01-01,Malaysia,151.7797427
2009-01-01,Malaysia,192.9139681
2010-01-01,Malaysia,181.7860579
2011-01-01,Malaysia,178.0751025
2012-01-01,Malaysia,189.4560893
2013-01-01,Malaysia,188.4722486
2014-01-01,Malaysia,184.1075341
2015-01-01,Malaysia,178.5419371
2016-01-01,Malaysia,177.9298616
2017-01-01,Malaysia,191.6794851
2018-01-01,Malaysia,179.6174667
2019-01-01,Malaysia,184.1162264
2020-01-01,Malaysia,
1999-01-01,Thailand,0
2000-01-01,Thailand,0
2001-01-01,Thailand,0
2002-01-01,Thailand,0
2003-01-01,Thailand,0
2004-01-01,Thailand,0
2005-01-01,Thailand,0
2006-01-01,Thailand,0
2007-01-01,Thailand,0
2008-01-01,Thailand,0
2009-01-01,Thailand,0
2010-01-01,Thailand,0
2011-01-01,Thailand,112.2247488
2012-01-01,Thailand,121.2533201
2013-01-01,Thailand,118.9201226
2014-01-01,Thailand,124.9613553
2015-01-01,Thailand,119.8443297
2016-01-01,Thailand,119.7365775
2017-01-01,Thailand,123.4694196
2018-01-01,Thailand,114.3697404
2019-01-01,Thailand,122.3989604
2020-01-01,Thailand,
1999-01-01,Indonesia,65.28973564
2000-01-01,Indonesia,57.8715922
2001-01-01,Indonesia,57.98563998
2002-01-01,Indonesia,55.95490882
2003-01-01,Indonesia,42.27360222
2004-01-01,Indonesia,35.83478998
2005-01-01,Indonesia,35.18656929
2006-01-01,Indonesia,34.20527147
2007-01-01,Indonesia,33.41389102
2008-01-01,Indonesia,26.63916856
2009-01-01,Indonesia,35.054516
2010-01-01,Indonesia,32.43282427
2011-01-01,Indonesia,31.67896065
2012-01-01,Indonesia,33.25996126
2013-01-01,Indonesia,30.19201594
2014-01-01,Indonesia,33.87808148
2015-01-01,Indonesia,34.1835225
2016-01-01,Indonesia,35.96500956
2017-01-01,Indonesia,35.09555736
2018-01-01,Indonesia,33.98124007
2019-01-01,Indonesia,34.93508619
2020-01-01,Indonesia,54.08
1999-01-01,Singapore,222.159262
2000-01-01,Singapore,201.438824
2001-01-01,Singapore,226.5374999
2002-01-01,Singapore,217.6900165
2003-01-01,Singapore,217.0946411
2004-01-01,Singapore,211.0663582
2005-01-01,Singapore,198.7434695
2006-01-01,Singapore,222.0544844
2007-01-01,Singapore,222.2794394
2008-01-01,Singapore,233.7290352
2009-01-01,Singapore,260.6921935
2010-01-01,Singapore,249.3679322
2011-01-01,Singapore,236.384688
2012-01-01,Singapore,252.8204763
2013-01-01,Singapore,249.8770667
2014-01-01,Singapore,254.8227789
2015-01-01,Singapore,243.8010839
2016-01-01,Singapore,250.4417077
2017-01-01,Singapore,265.4702587
2018-01-01,Singapore,248.7248534
2019-01-01,Singapore,273.7965717
2020-01-01,Singapore,
1999-01-01,Philippines,0
2000-01-01,Philippines,0
2001-01-01,Philippines,0
2002-01-01,Philippines,0
2003-01-01,Philippines,0
2004-01-01,Philippines,0
2005-01-01,Philippines,0
2006-01-01,Philippines,0
2007-01-01,Philippines,0
2008-01-01,Philippines,57.83728593
2009-01-01,Philippines,67.06691752
2010-01-01,Philippines,66.94924854
2011-01-01,Philippines,63.98589474
2012-01-01,Philippines,66.97845769
2013-01-01,Philippines,71.85440906
2014-01-01,Philippines,75.74633382
2015-01-01,Philippines,75.27657094
2016-01-01,Philippines,77.50295142
2017-01-01,Philippines,83.14327081
2018-01-01,Philippines,84.25693584
2019-01-01,Philippines,88.44701187
2020-01-01,Philippines,
