Dates,variable,value
1997-01-02,IDX: Turnover: Value,223.0335
1997-01-03,IDX: Turnover: Value,229.3982
1997-01-06,IDX: Turnover: Value,334.883
1997-01-07,IDX: Turnover: Value,347.7723
1997-01-08,IDX: Turnover: Value,375.0167
1997-01-09,IDX: Turnover: Value,361.1417
1997-01-10,IDX: Turnover: Value,334.8023
1997-01-13,IDX: Turnover: Value,285.0025
1997-01-14,IDX: Turnover: Value,350.9493
1997-01-15,IDX: Turnover: Value,409.7617
1997-01-16,IDX: Turnover: Value,501.1025
1997-01-17,IDX: Turnover: Value,479.3129
1997-01-20,IDX: Turnover: Value,440.3438
1997-01-21,IDX: Turnover: Value,672.5351
1997-01-22,IDX: Turnover: Value,756.2258
1997-01-23,IDX: Turnover: Value,732.2964
1997-01-24,IDX: Turnover: Value,644.3992
1997-01-27,IDX: Turnover: Value,440.0843
1997-01-28,IDX: Turnover: Value,471.4857
1997-01-29,IDX: Turnover: Value,828.8815
1997-01-30,IDX: Turnover: Value,556.3854
1997-01-31,IDX: Turnover: Value,551.6294
1997-02-03,IDX: Turnover: Value,451.1833
1997-02-04,IDX: Turnover: Value,468.5768
1997-02-05,IDX: Turnover: Value,456.4921
1997-02-06,IDX: Turnover: Value,313.4118
1997-02-12,IDX: Turnover: Value,509.3458
1997-02-13,IDX: Turnover: Value,624.966
1997-02-14,IDX: Turnover: Value,621.476
1997-02-17,IDX: Turnover: Value,470.4249
1997-02-18,IDX: Turnover: Value,453.4135
1997-02-19,IDX: Turnover: Value,514.0909
1997-02-20,IDX: Turnover: Value,430.0047
1997-02-21,IDX: Turnover: Value,411.537
1997-02-24,IDX: Turnover: Value,592.9797
1997-02-25,IDX: Turnover: Value,628.9735
1997-02-26,IDX: Turnover: Value,651.915
1997-02-27,IDX: Turnover: Value,781.9282
1997-02-28,IDX: Turnover: Value,533.7492
1997-03-03,IDX: Turnover: Value,458.1565
1997-03-04,IDX: Turnover: Value,721.0287
1997-03-05,IDX: Turnover: Value,559.6532
1997-03-06,IDX: Turnover: Value,659.2198
1997-03-07,IDX: Turnover: Value,445.538
1997-03-10,IDX: Turnover: Value,393.1247
1997-03-11,IDX: Turnover: Value,599.8866
1997-03-12,IDX: Turnover: Value,422.6467
1997-03-13,IDX: Turnover: Value,411.7429
1997-03-14,IDX: Turnover: Value,411.2906
1997-03-17,IDX: Turnover: Value,269.798
1997-03-18,IDX: Turnover: Value,579.8906
1997-03-19,IDX: Turnover: Value,390.8772
1997-03-20,IDX: Turnover: Value,482.1448
1997-03-21,IDX: Turnover: Value,471.3146
1997-03-24,IDX: Turnover: Value,338.6014
1997-03-25,IDX: Turnover: Value,336.3876
1997-03-26,IDX: Turnover: Value,468.4177
1997-03-27,IDX: Turnover: Value,672.5631
1997-04-01,IDX: Turnover: Value,303.5386
1997-04-02,IDX: Turnover: Value,533.8289
1997-04-03,IDX: Turnover: Value,309.9749
