Dates,variable,value
1997-01-03,Aneka Industri,110.444
1997-01-06,Aneka Industri,110.344
1997-01-07,Aneka Industri,110.556
1997-01-08,Aneka Industri,110.392
1997-01-09,Aneka Industri,109.776
1997-01-10,Aneka Industri,110.448
1997-01-13,Aneka Industri,111.241
1997-01-14,Aneka Industri,111.428
1997-01-15,Aneka Industri,112.741
1997-01-16,Aneka Industri,114.511
1997-01-17,Aneka Industri,113.011
1997-01-20,Aneka Industri,115.083
1997-01-21,Aneka Industri,114.654
1997-01-22,Aneka Industri,115.872
1997-01-23,Aneka Industri,116.27
1997-01-24,Aneka Industri,114.73
1997-01-27,Aneka Industri,116.599
1997-01-28,Aneka Industri,117.114
1997-01-29,Aneka Industri,117.551
1997-01-30,Aneka Industri,117.979
1997-01-31,Aneka Industri,117.025
1997-02-03,Aneka Industri,115.555
1997-02-04,Aneka Industri,115.31
1997-02-05,Aneka Industri,117.106
1997-02-06,Aneka Industri,117.721
1997-02-12,Aneka Industri,118.557
1997-02-13,Aneka Industri,118.8
1997-02-14,Aneka Industri,117.751
1997-02-17,Aneka Industri,118.689
1997-02-18,Aneka Industri,119.296
1997-02-19,Aneka Industri,120.095
1997-02-20,Aneka Industri,119.756
1997-02-21,Aneka Industri,120.38
1997-02-24,Aneka Industri,120.609
1997-02-25,Aneka Industri,120.362
1997-02-26,Aneka Industri,121.329
1997-02-27,Aneka Industri,121.219
1997-02-28,Aneka Industri,120.017
1997-03-03,Aneka Industri,119.76
1997-03-04,Aneka Industri,119.234
1997-03-05,Aneka Industri,117.855
1997-03-06,Aneka Industri,118.338
1997-03-07,Aneka Industri,117.163
1997-03-10,Aneka Industri,119.303
1997-03-11,Aneka Industri,118.529
1997-03-12,Aneka Industri,118.699
1997-03-13,Aneka Industri,117.19
1997-03-14,Aneka Industri,116.665
1997-03-17,Aneka Industri,118.47
1997-03-18,Aneka Industri,117.791
1997-03-19,Aneka Industri,117.052
1997-03-20,Aneka Industri,117.403
1997-03-21,Aneka Industri,116.52
1997-03-24,Aneka Industri,116.095
1997-03-25,Aneka Industri,116.168
1997-03-26,Aneka Industri,116.843
1997-03-27,Aneka Industri,117.839
1997-03-31,Aneka Industri,117.839
1997-04-01,Aneka Industri,117.381
1997-04-02,Aneka Industri,116.907
1997-04-03,Aneka Industri,116.19
1997-04-04,Aneka Industri,116.034
1997-04-07,Aneka Industri,115.633
1997-04-08,Aneka Industri,115.085
1997-04-10,Aneka Industri,114.867
1997-04-11,Aneka Industri,114.745
1997-04-14,Aneka Industri,114.099
1997-04-15,Aneka Industri,113.213
1997-04-16,Aneka Industri,114.604
1997-04-17,Aneka Industri,114.392
1997-04-21,Aneka Industri,115.05
1997-04-22,Aneka Industri,115.574
1997-04-23,Aneka Industri,116.348
1997-04-24,Aneka Industri,117.027
1997-04-25,Aneka Industri,117.447
1997-04-28,Aneka Industri,118.564
1997-04-29,Aneka Industri,117.868
1997-04-30,Aneka Industri,118.443
1997-05-01,Aneka Industri,118.807
1997-05-02,Aneka Industri,118.156
1997-05-05,Aneka Industri,119.632
1997-05-06,Aneka Industri,122.07
1997-05-07,Aneka Industri,122.454
1997-05-09,Aneka Industri,122.337
1997-05-12,Aneka Industri,122.28
1997-05-13,Aneka Industri,122.137
1997-05-14,Aneka Industri,122.347
1997-05-15,Aneka Industri,122.016
1997-05-16,Aneka Industri,122.213
1997-05-19,Aneka Industri,121.258
1997-05-20,Aneka Industri,121.099
1997-05-21,Aneka Industri,120.743
1997-05-23,Aneka Industri,120.92
1997-05-26,Aneka Industri,120.744
1997-05-27,Aneka Industri,121.735
1997-05-28,Aneka Industri,125.526
1997-05-29,Aneka Industri,127.687
1997-05-30,Aneka Industri,126.897
1997-06-02,Aneka Industri,129.352
1997-06-03,Aneka Industri,131.091
1997-06-04,Aneka Industri,130.386
1997-06-05,Aneka Industri,129.777
1997-06-06,Aneka Industri,129.599
1997-06-09,Aneka Industri,129.868
1997-06-10,Aneka Industri,129.836
1997-06-11,Aneka Industri,130.687
1997-06-12,Aneka Industri,129.993
1997-06-13,Aneka Industri,130.505
1997-06-16,Aneka Industri,131.116
1997-06-17,Aneka Industri,132.363
1997-06-18,Aneka Industri,132.351
1997-06-19,Aneka Industri,133.765
1997-06-20,Aneka Industri,136.532
1997-06-23,Aneka Industri,139.385
1997-06-24,Aneka Industri,138.422
1997-06-25,Aneka Industri,139.068
1997-06-26,Aneka Industri,139.433
1997-06-27,Aneka Industri,139.186
1997-06-30,Aneka Industri,140.891
1997-07-01,Aneka Industri,140.223
1997-07-02,Aneka Industri,140.622
1997-07-03,Aneka Industri,140.863
1997-07-04,Aneka Industri,142.559
1997-07-07,Aneka Industri,143.972
1997-07-08,Aneka Industri,147.24
1997-07-09,Aneka Industri,148.397
1997-07-10,Aneka Industri,148.42
1997-07-11,Aneka Industri,148.254
1997-07-14,Aneka Industri,146.585
1997-07-15,Aneka Industri,146.364
1997-07-16,Aneka Industri,145.228
1997-07-18,Aneka Industri,144.603
1997-07-21,Aneka Industri,142.812
1997-07-22,Aneka Industri,141.777
1997-07-23,Aneka Industri,142.503
1997-07-24,Aneka Industri,140.279
1997-07-25,Aneka Industri,139.54
1997-07-28,Aneka Industri,139.937
1997-07-29,Aneka Industri,141.299
1997-07-30,Aneka Industri,142.169
1997-07-31,Aneka Industri,142.795
1997-08-01,Aneka Industri,144.362
1997-08-04,Aneka Industri,143.635
1997-08-05,Aneka Industri,143.693
1997-08-06,Aneka Industri,141.485
1997-08-07,Aneka Industri,136.9
1997-08-08,Aneka Industri,138.32
1997-08-11,Aneka Industri,134.667
1997-08-12,Aneka Industri,136.527
1997-08-13,Aneka Industri,137.078
1997-08-14,Aneka Industri,134.371
1997-08-15,Aneka Industri,129.22
1997-08-18,Aneka Industri,123.373
1997-08-19,Aneka Industri,118.33
1997-08-20,Aneka Industri,115.499
1997-08-21,Aneka Industri,117.833
1997-08-22,Aneka Industri,115.608
1997-08-25,Aneka Industri,109.769
1997-08-26,Aneka Industri,108.537
1997-08-27,Aneka Industri,109.164
1997-08-28,Aneka Industri,107.328
1997-08-29,Aneka Industri,103.481
1997-09-01,Aneka Industri,103.276
1997-09-02,Aneka Industri,102.385
1997-09-03,Aneka Industri,107.595
1997-09-04,Aneka Industri,115.148
1997-09-05,Aneka Industri,132.724
1997-09-08,Aneka Industri,128.072
1997-09-09,Aneka Industri,129.254
1997-09-10,Aneka Industri,123.752
1997-09-11,Aneka Industri,122.519
