Dates,variable,value
2010-01-01,MSCI WORLD,1168.47
2010-01-04,MSCI WORLD,1189.39
2010-01-05,MSCI WORLD,1192.89
2010-01-06,MSCI WORLD,1193.52
2010-01-07,MSCI WORLD,1192.91
2010-01-08,MSCI WORLD,1198.26
2010-01-11,MSCI WORLD,1207.22
2010-01-12,MSCI WORLD,1199.34
2010-01-13,MSCI WORLD,1201.61
2010-01-14,MSCI WORLD,1207.98
2010-01-15,MSCI WORLD,1195.66
2010-01-18,MSCI WORLD,1198.22
2010-01-19,MSCI WORLD,1203.33
2010-01-20,MSCI WORLD,1184.49
2010-01-21,MSCI WORLD,1166.93
2010-01-22,MSCI WORLD,1149.89
2010-01-25,MSCI WORLD,1148.99
2010-01-26,MSCI WORLD,1143.44
2010-01-27,MSCI WORLD,1140.28
2010-01-28,MSCI WORLD,1128.32
2010-01-29,MSCI WORLD,1119.54
2010-02-01,MSCI WORLD,1129.29
2010-02-02,MSCI WORLD,1144.96
2010-02-03,MSCI WORLD,1138.9
2010-02-04,MSCI WORLD,1106.37
2010-02-05,MSCI WORLD,1095.48
2010-02-08,MSCI WORLD,1092.63
2010-02-09,MSCI WORLD,1101.18
2010-02-10,MSCI WORLD,1101.44
2010-02-11,MSCI WORLD,1108.27
2010-02-12,MSCI WORLD,1107.32
2010-02-15,MSCI WORLD,1107.42
2010-02-16,MSCI WORLD,1124.86
2010-02-17,MSCI WORLD,1133.79
2010-02-18,MSCI WORLD,1138.94
2010-02-19,MSCI WORLD,1134.45
2010-02-22,MSCI WORLD,1139.82
2010-02-23,MSCI WORLD,1128.52
2010-02-24,MSCI WORLD,1133.2
2010-02-25,MSCI WORLD,1124.02
2010-02-26,MSCI WORLD,1133.35
2010-03-01,MSCI WORLD,1140.58
2010-03-02,MSCI WORLD,1149.39
2010-03-03,MSCI WORLD,1157.37
2010-03-04,MSCI WORLD,1155.6
2010-03-05,MSCI WORLD,1170.46
2010-03-08,MSCI WORLD,1174.7
2010-03-09,MSCI WORLD,1174.11
2010-03-10,MSCI WORLD,1180.31
2010-03-11,MSCI WORLD,1182.69
2010-03-12,MSCI WORLD,1187.37
2010-03-15,MSCI WORLD,1181.99
2010-03-16,MSCI WORLD,1193.73
2010-03-17,MSCI WORLD,1202.51
2010-03-18,MSCI WORLD,1196.71
2010-03-19,MSCI WORLD,1190.78
2010-03-22,MSCI WORLD,1193.45
2010-03-23,MSCI WORLD,1200.86
2010-03-24,MSCI WORLD,1190.33
2010-03-25,MSCI WORLD,1191.75
2010-03-26,MSCI WORLD,1193.41
2010-03-29,MSCI WORLD,1200.62
2010-03-30,MSCI WORLD,1201.1
2010-03-31,MSCI WORLD,1200.53
2010-04-01,MSCI WORLD,1212.14
2010-04-02,MSCI WORLD,1212.76
2010-04-05,MSCI WORLD,1217.36
2010-04-06,MSCI WORLD,1218.12
2010-04-07,MSCI WORLD,1213.33
2010-04-08,MSCI WORLD,1211.27
2010-04-09,MSCI WORLD,1223.32
2010-04-12,MSCI WORLD,1229.35
2010-04-13,MSCI WORLD,1226.01
2010-04-14,MSCI WORLD,1239.31
2010-04-15,MSCI WORLD,1241.7
2010-04-16,MSCI WORLD,1222.25
2010-04-19,MSCI WORLD,1217.51
2010-04-20,MSCI WORLD,1228.05
2010-04-21,MSCI WORLD,1225.37
2010-04-22,MSCI WORLD,1218.73
2010-04-23,MSCI WORLD,1225.38
2010-04-26,MSCI WORLD,1228.59
2010-04-27,MSCI WORLD,1202.48
2010-04-28,MSCI WORLD,1194.23
2010-04-29,MSCI WORLD,1208.26
2010-04-30,MSCI WORLD,1198.56
2010-05-03,MSCI WORLD,1202.32
2010-05-04,MSCI WORLD,1171.4
2010-05-05,MSCI WORLD,1157.86
2010-05-06,MSCI WORLD,1125.36
2010-05-07,MSCI WORLD,1099.58
2010-05-10,MSCI WORLD,1153.48
2010-05-11,MSCI WORLD,1144.89
2010-05-12,MSCI WORLD,1158.71
2010-05-13,MSCI WORLD,1152.64
2010-05-14,MSCI WORLD,1123.78
