Dates,variable,value
2020-01-01,IDGBFRGN Index,
2020-01-03,IDGBFRGN Index,1064.915
2020-01-06,IDGBFRGN Index,1064.168
2020-01-07,IDGBFRGN Index,1064.776
2020-01-08,IDGBFRGN Index,1064.236
2020-01-09,IDGBFRGN Index,1071.896
2020-01-10,IDGBFRGN Index,1073.158
2020-01-13,IDGBFRGN Index,1078.571
2020-01-14,IDGBFRGN Index,1083.083
2020-01-15,IDGBFRGN Index,1085.499
2020-01-16,IDGBFRGN Index,1084.671
2020-01-17,IDGBFRGN Index,1084.147
2020-01-20,IDGBFRGN Index,1084.315
2020-01-21,IDGBFRGN Index,1087.223
2020-01-22,IDGBFRGN Index,1087.137
2020-01-23,IDGBFRGN Index,1087.987
2020-01-24,IDGBFRGN Index,1092.017
2020-01-27,IDGBFRGN Index,1091.256
2020-01-28,IDGBFRGN Index,1089.175
2020-01-29,IDGBFRGN Index,1084.33
2020-01-30,IDGBFRGN Index,1079.491
2020-01-31,IDGBFRGN Index,1077.058
2020-02-03,IDGBFRGN Index,1071.382
2020-02-04,IDGBFRGN Index,1063.585
2020-02-05,IDGBFRGN Index,1061.785
2020-02-06,IDGBFRGN Index,1065.516
2020-02-07,IDGBFRGN Index,1065.417
2020-02-10,IDGBFRGN Index,1064.832
2020-02-11,IDGBFRGN Index,1065.615
2020-02-12,IDGBFRGN Index,1065.737
2020-02-13,IDGBFRGN Index,1065.595
2020-02-14,IDGBFRGN Index,1065.487
2020-02-17,IDGBFRGN Index,1065.895
2020-02-18,IDGBFRGN Index,1067.367
2020-02-19,IDGBFRGN Index,1068.89
2020-02-20,IDGBFRGN Index,1070.083
2020-02-21,IDGBFRGN Index,1070.248
2020-02-24,IDGBFRGN Index,1064.843
2020-02-25,IDGBFRGN Index,1057.39
2020-02-26,IDGBFRGN Index,1053.815
2020-02-27,IDGBFRGN Index,1050.885
2020-02-28,IDGBFRGN Index,1048.161
2020-03-02,IDGBFRGN Index,1039.651
2020-03-03,IDGBFRGN Index,1034.412
2020-03-04,IDGBFRGN Index,1032.561
2020-03-05,IDGBFRGN Index,1031.463
2020-03-06,IDGBFRGN Index,1032.277
2020-03-09,IDGBFRGN Index,1030.1
2020-03-10,IDGBFRGN Index,1023.42
2020-03-11,IDGBFRGN Index,1015.87
2020-03-12,IDGBFRGN Index,1011.996
2020-03-13,IDGBFRGN Index,1005.414
2020-03-16,IDGBFRGN Index,992.072
2020-03-17,IDGBFRGN Index,983.007
2020-03-18,IDGBFRGN Index,975.365
2020-03-19,IDGBFRGN Index,969.1
2020-03-20,IDGBFRGN Index,959.297
2020-03-23,IDGBFRGN Index,949.881
2020-03-24,IDGBFRGN Index,942.641
2020-03-26,IDGBFRGN Index,935.824
2020-03-27,IDGBFRGN Index,931.626
2020-03-30,IDGBFRGN Index,930.708
2020-03-31,IDGBFRGN Index,926.906
2020-04-01,IDGBFRGN Index,926.774
2020-04-02,IDGBFRGN Index,931.882
2020-04-03,IDGBFRGN Index,932.636
2020-04-06,IDGBFRGN Index,931.415
2020-04-07,IDGBFRGN Index,927.822
2020-04-08,IDGBFRGN Index,924.217
2020-04-09,IDGBFRGN Index,924.653
2020-04-13,IDGBFRGN Index,918.321
2020-04-14,IDGBFRGN Index,919.524
2020-04-15,IDGBFRGN Index,919.415
2020-04-16,IDGBFRGN Index,921.879
2020-04-17,IDGBFRGN Index,922.245
2020-04-20,IDGBFRGN Index,923.788
2020-04-21,IDGBFRGN Index,923.083
2020-04-22,IDGBFRGN Index,922.041
2020-04-23,IDGBFRGN Index,922.136
2020-04-24,IDGBFRGN Index,922.346
2020-04-27,IDGBFRGN Index,922.484
2020-04-28,IDGBFRGN Index,922.285
2020-04-29,IDGBFRGN Index,920.664
2020-04-30,IDGBFRGN Index,924.76
2020-05-04,IDGBFRGN Index,924.99
2020-05-05,IDGBFRGN Index,925.929
2020-05-06,IDGBFRGN Index,922.8
2020-05-08,IDGBFRGN Index,920.173
2020-05-11,IDGBFRGN Index,919.391
2020-05-12,IDGBFRGN Index,917.162
2020-05-13,IDGBFRGN Index,918.184
2020-05-14,IDGBFRGN Index,921.144
2020-05-15,IDGBFRGN Index,923.143
2020-05-18,IDGBFRGN Index,921.941
2020-05-19,IDGBFRGN Index,923.758
2020-05-20,IDGBFRGN Index,929.29
2020-05-26,IDGBFRGN Index,929.792
2020-05-27,IDGBFRGN Index,929.679
2020-05-28,IDGBFRGN Index,931.551
2020-05-29,IDGBFRGN Index,931.834
2020-06-02,IDGBFRGN Index,932.408
2020-06-03,IDGBFRGN Index,933.698
2020-06-04,IDGBFRGN Index,938.847
2020-06-05,IDGBFRGN Index,941.436
2020-06-08,IDGBFRGN Index,940.906
2020-06-09,IDGBFRGN Index,942.12
2020-06-10,IDGBFRGN Index,939.097
2020-06-11,IDGBFRGN Index,936.713
2020-06-12,IDGBFRGN Index,935.214
2020-06-15,IDGBFRGN Index,935.188
2020-06-16,IDGBFRGN Index,934.216
2020-06-17,IDGBFRGN Index,933.966
2020-06-18,IDGBFRGN Index,934.659
2020-06-19,IDGBFRGN Index,934.905
2020-06-22,IDGBFRGN Index,934.771
2020-06-23,IDGBFRGN Index,934.842
2020-06-24,IDGBFRGN Index,935.349
2020-06-25,IDGBFRGN Index,937.631
2020-06-26,IDGBFRGN Index,939.8
2020-06-29,IDGBFRGN Index,940.416
2020-06-30,IDGBFRGN Index,937
2020-07-01,IDGBFRGN Index,935.749
2020-07-02,IDGBFRGN Index,937.423
2020-07-03,IDGBFRGN Index,934.656
2020-07-06,IDGBFRGN Index,933.422
2020-07-07,IDGBFRGN Index,933.091
2020-07-08,IDGBFRGN Index,933.219
2020-07-09,IDGBFRGN Index,934.238
2020-07-10,IDGBFRGN Index,934.796
2020-07-13,IDGBFRGN Index,936.339
2020-07-14,IDGBFRGN Index,936.579
2020-07-15,IDGBFRGN Index,937.591
2020-07-16,IDGBFRGN Index,936.991
2020-07-17,IDGBFRGN Index,938.731
2020-07-20,IDGBFRGN Index,939.448
2020-07-21,IDGBFRGN Index,939.419
2020-07-22,IDGBFRGN Index,938.996
2020-07-23,IDGBFRGN Index,939.434
2020-07-24,IDGBFRGN Index,942.217
2020-07-27,IDGBFRGN Index,941.932
2020-07-28,IDGBFRGN Index,942.06
2020-07-29,IDGBFRGN Index,942.748
2020-07-30,IDGBFRGN Index,945.793
2020-08-03,IDGBFRGN Index,944.753
2020-08-04,IDGBFRGN Index,943.018
2020-08-05,IDGBFRGN Index,943.776
2020-08-06,IDGBFRGN Index,942.933
2020-08-07,IDGBFRGN Index,945.676
2020-08-10,IDGBFRGN Index,944.649
2020-08-11,IDGBFRGN Index,942.999
2020-08-12,IDGBFRGN Index,941.848
2020-08-13,IDGBFRGN Index,941.524
2020-08-14,IDGBFRGN Index,940.456
2020-08-18,IDGBFRGN Index,938.956
2020-08-19,IDGBFRGN Index,936.705
2020-08-24,IDGBFRGN Index,937.536
2020-08-25,IDGBFRGN Index,938.88
2020-08-26,IDGBFRGN Index,938.478
2020-08-27,IDGBFRGN Index,940.702
2020-08-28,IDGBFRGN Index,939.427
