Dates,variable,value
2015-01-02,SPREAD USD,
2015-01-05,SPREAD USD,
2015-01-06,SPREAD USD,
2015-01-07,SPREAD USD,
2015-01-08,SPREAD USD,
2015-01-09,SPREAD USD,
2015-01-12,SPREAD USD,
2015-01-13,SPREAD USD,
2015-01-14,SPREAD USD,
2015-01-15,SPREAD USD,2.3571
2015-01-16,SPREAD USD,2.2102
2015-01-19,SPREAD USD,2.2322
2015-01-20,SPREAD USD,2.215
2015-01-21,SPREAD USD,2.0703
2015-01-22,SPREAD USD,2.1279
2015-01-23,SPREAD USD,2.1182
2015-01-26,SPREAD USD,2.0609
2015-01-27,SPREAD USD,2.0709
2015-01-28,SPREAD USD,2.1283
2015-01-29,SPREAD USD,2.0638
2015-01-30,SPREAD USD,2.1653
2015-02-02,SPREAD USD,2.1438
2015-02-03,SPREAD USD,2.0365
2015-02-04,SPREAD USD,2.0877
2015-02-05,SPREAD USD,2.0056
2015-02-06,SPREAD USD,1.8473
2015-02-09,SPREAD USD,1.8955
2015-02-10,SPREAD USD,1.8763
2015-02-11,SPREAD USD,1.9574
2015-02-12,SPREAD USD,1.9786
2015-02-13,SPREAD USD,1.7966
2015-02-16,SPREAD USD,1.8146
2015-02-17,SPREAD USD,1.6781
2015-02-18,SPREAD USD,1.763
2015-02-19,SPREAD USD,1.7138
2015-02-20,SPREAD USD,1.7223
2015-02-23,SPREAD USD,1.7416
2015-02-24,SPREAD USD,1.801
2015-02-25,SPREAD USD,1.7362
2015-02-26,SPREAD USD,1.6095
2015-02-27,SPREAD USD,1.69
2015-03-02,SPREAD USD,1.582
2015-03-03,SPREAD USD,1.6301
2015-03-04,SPREAD USD,1.6958
2015-03-05,SPREAD USD,1.6816
2015-03-06,SPREAD USD,1.5556
2015-03-09,SPREAD USD,1.7333
2015-03-10,SPREAD USD,1.9283
2015-03-11,SPREAD USD,1.9544
2015-03-12,SPREAD USD,1.8844
2015-03-13,SPREAD USD,1.874
2015-03-16,SPREAD USD,1.9683
2015-03-17,SPREAD USD,1.9353
2015-03-18,SPREAD USD,2.0671
2015-03-19,SPREAD USD,1.8125
2015-03-20,SPREAD USD,1.8497
2015-03-23,SPREAD USD,1.811
2015-03-24,SPREAD USD,1.8439
2015-03-25,SPREAD USD,1.782
2015-03-26,SPREAD USD,1.7566
2015-03-27,SPREAD USD,1.8335
2015-03-30,SPREAD USD,1.8355
2015-03-31,SPREAD USD,1.8599
2015-04-01,SPREAD USD,1.9407
2015-04-02,SPREAD USD,1.8693
2015-04-03,SPREAD USD,1.9481
2015-04-06,SPREAD USD,1.8658
2015-04-07,SPREAD USD,1.8702
2015-04-08,SPREAD USD,1.8233
2015-04-09,SPREAD USD,1.7634
2015-04-10,SPREAD USD,1.7767
2015-04-13,SPREAD USD,1.7998
2015-04-14,SPREAD USD,1.8245
2015-04-15,SPREAD USD,1.869
2015-04-16,SPREAD USD,1.8833
2015-04-17,SPREAD USD,1.9297
2015-04-20,SPREAD USD,1.9264
2015-04-21,SPREAD USD,1.8733
2015-04-22,SPREAD USD,1.7652
2015-04-23,SPREAD USD,1.8243
2015-04-24,SPREAD USD,1.8764
2015-04-27,SPREAD USD,1.8602
2015-04-28,SPREAD USD,1.8216
2015-04-29,SPREAD USD,1.8262
2015-04-30,SPREAD USD,1.8573
2015-05-01,SPREAD USD,1.7795
2015-05-04,SPREAD USD,1.792
