Dates,value
2010-01-01,1861460.83
2010-02-01,1854123.63
2010-03-01,1906460.41
2010-04-01,1904058.75
2010-05-01,1927948.03
2010-06-01,2007738.73
2010-07-01,1988499.78
2010-08-01,1994944.84
2010-09-01,2044632.62
2010-10-01,2072707.44
2010-11-01,2108845.02
2010-12-01,2210494.78
2011-01-01,2188748.25
2011-02-01,2174379.61
2011-03-01,2209279.13
2011-04-01,2181976.73
2011-05-01,2220714.96
2011-06-01,2260749.83
2011-07-01,2288666.62
2011-08-01,2296176.08
2011-09-01,2363634.58
2011-10-01,2396277.71
2011-11-01,2450334.48
2011-12-01,2569344
2012-01-01,2570637.11
2012-02-01,2569615.66
2012-03-01,2626832.71
2012-04-01,2638443.03
2012-05-01,2699570.41
2012-06-01,2737835.37
2012-07-01,2741478.8
2012-08-01,2763838.91
2012-09-01,2801759.48
2012-10-01,2837322.27
2012-11-01,2879938.87
2012-12-01,2945477.39
2013-01-01,2941642.62
2013-02-01,2958619.67
2013-03-01,2991283.26
2013-04-01,3036497.73
2013-05-01,3091964.33
2013-06-01,3065621.2
2013-07-01,3122210.69
2013-08-01,3142612.54
2013-09-01,3223344.73
2013-10-01,3212643.67
2013-11-01,3240038.77
2013-12-01,3330349.5
2014-01-01,3272140.56
2014-02-01,3266959.57
2014-03-01,3274849.75
2014-04-01,3348749.07
2014-05-01,3399926.62
2014-06-01,3475476.09
2014-07-01,3433755.28
2014-08-01,3486522.31
2014-09-01,3614213.7
2014-10-01,3626985.28
2014-11-01,3669835.66
2014-12-01,3752667.52
2015-01-01,3782690.55
2015-02-01,3829989.82
2015-03-01,3864324.2
2015-04-01,3879934.75
2015-05-01,3881775.05
2015-06-01,3948949.1
2015-07-01,3940978.08
2015-08-01,3980225.5
2015-09-01,4079678.38
2015-10-01,4007309.48
2015-11-01,4014536.77
2015-12-01,4076997.56
2016-01-01,4058454.97
2016-02-01,4099765.45
2016-03-01,4141558.49
2016-04-01,4145709.32
2016-05-01,4172527.05
2016-06-01,4225286.62
2016-07-01,4254594.36
2016-08-01,4279488.18
2016-09-01,4268027.09
2016-10-01,4310412.59
2016-11-01,4391693.42
2016-12-01,4496492.23
2017-01-01,4466600.34
2017-02-01,4480483.94
2017-03-01,4548671.66
2017-04-01,4550548.29
2017-05-01,4641212.68
2017-06-01,4662602.52
2017-07-01,4660236.55
2017-08-01,4692450.51
2017-09-01,4730599.66
2017-10-01,4764349.68
2017-11-01,4783947.78
2017-12-01,4832110.28
2018-01-01,4819380.73
2018-02-01,4820265.47
2018-03-01,4846330.85
2018-04-01,4859131.96
2018-05-01,4853142.02
2018-06-01,4927458.65
2018-07-01,4924044.63
2018-08-01,4941467.61
2018-09-01,5015654.02
2018-10-01,5085529.32
2018-11-01,5084344.34
2018-12-01,5133942.14
2019-01-01,5065579.79
2019-02-01,5100243.34
2019-03-01,5161568.28
2019-04-01,5152958.23
2019-05-01,5184654.34
2019-06-01,5283030.54
2019-07-01,5320011.35
2019-08-01,5311906.81
2019-09-01,5389836.13
2019-10-01,5415570.11
2019-11-01,5451757.42
2019-12-01,5480687.37
2020-01-01,5430267.14
2020-02-01,5508361.88
2020-03-01,5819608.79
2020-04-01,5603956.24
2020-05-01,5782856.75
2020-06-01,5741565.85
2020-07-01,5897367.76
2020-08-01,6063386.72
2020-09-01,6073741.84
2020-10-01,6072749.74
