Dates,variable,value
2019-12-31,CHINA,3.138
2020-01-01,CHINA,3.138
2020-01-02,CHINA,3.138
2020-01-03,CHINA,3.139
2020-01-06,CHINA,3.13
2020-01-07,CHINA,3.139
2020-01-08,CHINA,3.132
2020-01-09,CHINA,3.117
2020-01-10,CHINA,3.074
2020-01-13,CHINA,3.087
2020-01-14,CHINA,3.099
2020-01-15,CHINA,3.087
2020-01-16,CHINA,3.093
2020-01-17,CHINA,3.083
2020-01-20,CHINA,3.054
2020-01-21,CHINA,3.035
2020-01-22,CHINA,3.017
2020-01-23,CHINA,2.992
2020-01-24,CHINA,2.992
2020-01-27,CHINA,2.992
2020-01-28,CHINA,2.992
2020-01-29,CHINA,2.992
2020-01-30,CHINA,2.992
2020-01-31,CHINA,2.992
2020-02-03,CHINA,2.992
2020-02-04,CHINA,2.832
2020-02-05,CHINA,2.857
2020-02-06,CHINA,2.833
2020-02-07,CHINA,2.799
2020-02-10,CHINA,2.785
2020-02-11,CHINA,2.823
2020-02-12,CHINA,2.832
2020-02-13,CHINA,2.821
2020-02-14,CHINA,2.846
2020-02-17,CHINA,2.883
2020-02-18,CHINA,2.872
2020-02-19,CHINA,2.877
2020-02-20,CHINA,2.879
2020-02-21,CHINA,2.85
2020-02-24,CHINA,2.807
2020-02-25,CHINA,2.815
2020-02-26,CHINA,2.794
2020-02-27,CHINA,2.777
2020-02-28,CHINA,2.728
2020-03-02,CHINA,2.738
2020-03-03,CHINA,2.75
2020-03-04,CHINA,2.67
2020-03-05,CHINA,2.681
2020-03-06,CHINA,2.622
2020-03-09,CHINA,2.527
2020-03-10,CHINA,2.608
2020-03-11,CHINA,2.624
2020-03-12,CHINA,2.62
2020-03-13,CHINA,2.67
2020-03-16,CHINA,2.667
2020-03-17,CHINA,2.71
2020-03-18,CHINA,2.712
2020-03-19,CHINA,2.724
2020-03-20,CHINA,2.674
2020-03-23,CHINA,2.619
2020-03-24,CHINA,2.629
2020-03-25,CHINA,2.622
2020-03-26,CHINA,2.587
2020-03-27,CHINA,2.598
2020-03-30,CHINA,2.614
2020-03-31,CHINA,2.583
2020-04-01,CHINA,2.552
2020-04-02,CHINA,2.592
2020-04-03,CHINA,2.548
2020-04-06,CHINA,2.548
2020-04-07,CHINA,2.503
2020-04-08,CHINA,2.472
2020-04-09,CHINA,2.514
2020-04-10,CHINA,2.532
2020-04-13,CHINA,2.554
2020-04-14,CHINA,2.547
2020-04-15,CHINA,2.53
2020-04-16,CHINA,2.505
2020-04-17,CHINA,2.551
2020-04-20,CHINA,2.58
2020-04-21,CHINA,2.562
2020-04-22,CHINA,2.544
2020-04-23,CHINA,2.504
