Dates,variable,value
2010-01-01,Economic Policy Uncertainty Index,109.3
2010-02-01,Economic Policy Uncertainty Index,107.86
2010-03-01,Economic Policy Uncertainty Index,103.532
2010-04-01,Economic Policy Uncertainty Index,99.996
2010-05-01,Economic Policy Uncertainty Index,142.683
2010-06-01,Economic Policy Uncertainty Index,129.216
2010-07-01,Economic Policy Uncertainty Index,136.66
2010-08-01,Economic Policy Uncertainty Index,117.112
2010-09-01,Economic Policy Uncertainty Index,128.913
2010-10-01,Economic Policy Uncertainty Index,118.236
2010-11-01,Economic Policy Uncertainty Index,123.187
2010-12-01,Economic Policy Uncertainty Index,125.274
2011-01-01,Economic Policy Uncertainty Index,106.694
2011-02-01,Economic Policy Uncertainty Index,90.155
2011-03-01,Economic Policy Uncertainty Index,122.132
2011-04-01,Economic Policy Uncertainty Index,110.993
2011-05-01,Economic Policy Uncertainty Index,85.836
2011-06-01,Economic Policy Uncertainty Index,113.282
2011-07-01,Economic Policy Uncertainty Index,150.318
2011-08-01,Economic Policy Uncertainty Index,207.758
2011-09-01,Economic Policy Uncertainty Index,184.925
2011-10-01,Economic Policy Uncertainty Index,159.939
2011-11-01,Economic Policy Uncertainty Index,191.37
2011-12-01,Economic Policy Uncertainty Index,175.674
2012-01-01,Economic Policy Uncertainty Index,156.008
2012-02-01,Economic Policy Uncertainty Index,137.147
2012-03-01,Economic Policy Uncertainty Index,130.113
2012-04-01,Economic Policy Uncertainty Index,122.571
2012-05-01,Economic Policy Uncertainty Index,154.469
2012-06-01,Economic Policy Uncertainty Index,182.278
2012-07-01,Economic Policy Uncertainty Index,154.001
2012-08-01,Economic Policy Uncertainty Index,118.731
2012-09-01,Economic Policy Uncertainty Index,147.137
2012-10-01,Economic Policy Uncertainty Index,153.623
2012-11-01,Economic Policy Uncertainty Index,168.457
2012-12-01,Economic Policy Uncertainty Index,163.28
2013-01-01,Economic Policy Uncertainty Index,162.431
2013-02-01,Economic Policy Uncertainty Index,121.612
2013-03-01,Economic Policy Uncertainty Index,137.066
2013-04-01,Economic Policy Uncertainty Index,130.327
2013-05-01,Economic Policy Uncertainty Index,103.039
2013-06-01,Economic Policy Uncertainty Index,116.585
2013-07-01,Economic Policy Uncertainty Index,104.517
2013-08-01,Economic Policy Uncertainty Index,114.878
2013-09-01,Economic Policy Uncertainty Index,128.431
2013-10-01,Economic Policy Uncertainty Index,152.553
2013-11-01,Economic Policy Uncertainty Index,92.886
2013-12-01,Economic Policy Uncertainty Index,114.459
2014-01-01,Economic Policy Uncertainty Index,107.325
2014-02-01,Economic Policy Uncertainty Index,94.643
2014-03-01,Economic Policy Uncertainty Index,109.437
2014-04-01,Economic Policy Uncertainty Index,97.775
2014-05-01,Economic Policy Uncertainty Index,100.257
2014-06-01,Economic Policy Uncertainty Index,83.526
2014-07-01,Economic Policy Uncertainty Index,89.83
2014-08-01,Economic Policy Uncertainty Index,95.767
2014-09-01,Economic Policy Uncertainty Index,119.005
2014-10-01,Economic Policy Uncertainty Index,115.001
2014-11-01,Economic Policy Uncertainty Index,109.575
2014-12-01,Economic Policy Uncertainty Index,107.931
2015-01-01,Economic Policy Uncertainty Index,131.733
2015-02-01,Economic Policy Uncertainty Index,108.915
2015-03-01,Economic Policy Uncertainty Index,100.643
2015-04-01,Economic Policy Uncertainty Index,98.314
2015-05-01,Economic Policy Uncertainty Index,102.836
2015-06-01,Economic Policy Uncertainty Index,114.076
2015-07-01,Economic Policy Uncertainty Index,125.171
2015-08-01,Economic Policy Uncertainty Index,127.261
2015-09-01,Economic Policy Uncertainty Index,168.693
2015-10-01,Economic Policy Uncertainty Index,120.987
2015-11-01,Economic Policy Uncertainty Index,98.391
2015-12-01,Economic Policy Uncertainty Index,109.872
2016-01-01,Economic Policy Uncertainty Index,145.389
2016-02-01,Economic Policy Uncertainty Index,150.435
2016-03-01,Economic Policy Uncertainty Index,160.984
2016-04-01,Economic Policy Uncertainty Index,140.009
2016-05-01,Economic Policy Uncertainty Index,128.056
2016-06-01,Economic Policy Uncertainty Index,235.352
2016-07-01,Economic Policy Uncertainty Index,228.001
2016-08-01,Economic Policy Uncertainty Index,139.382
2016-09-01,Economic Policy Uncertainty Index,144.127
2016-10-01,Economic Policy Uncertainty Index,129.734
2016-11-01,Economic Policy Uncertainty Index,242.319
2016-12-01,Economic Policy Uncertainty Index,214.672
2017-01-01,Economic Policy Uncertainty Index,255.815
2017-02-01,Economic Policy Uncertainty Index,194.492
2017-03-01,Economic Policy Uncertainty Index,226.746
2017-04-01,Economic Policy Uncertainty Index,174.6
2017-05-01,Economic Policy Uncertainty Index,159.573
2017-06-01,Economic Policy Uncertainty Index,163.89
2017-07-01,Economic Policy Uncertainty Index,143.035
2017-08-01,Economic Policy Uncertainty Index,136.184
2017-09-01,Economic Policy Uncertainty Index,151.446
2017-10-01,Economic Policy Uncertainty Index,144.334
2017-11-01,Economic Policy Uncertainty Index,150.313
2017-12-01,Economic Policy Uncertainty Index,144.122
2018-01-01,Economic Policy Uncertainty Index,145.73
2018-02-01,Economic Policy Uncertainty Index,119.823
2018-03-01,Economic Policy Uncertainty Index,161.907
2018-04-01,Economic Policy Uncertainty Index,150.749
2018-05-01,Economic Policy Uncertainty Index,168.994
2018-06-01,Economic Policy Uncertainty Index,170.71
2018-07-01,Economic Policy Uncertainty Index,213.064
2018-08-01,Economic Policy Uncertainty Index,172.781
2018-09-01,Economic Policy Uncertainty Index,186.942
2018-10-01,Economic Policy Uncertainty Index,211.34
2018-11-01,Economic Policy Uncertainty Index,235.138
2018-12-01,Economic Policy Uncertainty Index,258.262
2019-01-01,Economic Policy Uncertainty Index,252.205
2019-02-01,Economic Policy Uncertainty Index,197.225
