Countries,variable,value
Bangladesh,GDP QoQ Q2/2020,
Iran,GDP QoQ Q2/2020,
Argentina,GDP QoQ Q3/2020,
Bangladesh,GDP QoQ Q3/2020,
Egypt,GDP QoQ Q3/2020,
India,GDP QoQ Q3/2020,
Iran,GDP QoQ Q3/2020,
Pakistan,GDP QoQ Q3/2020,
Russia,GDP QoQ Q3/2020,
South Africa,GDP QoQ Q3/2020,
United Arab Emirates,GDP QoQ Q3/2020,
Venezuela,GDP QoQ Q3/2020,
Vietnam,GDP QoQ Q3/2020,
Argentina,GDP YoY Q3/2020,
Bangladesh,GDP YoY Q3/2020,
Egypt,GDP YoY Q3/2020,
Iran,GDP YoY Q3/2020,
Ireland,GDP YoY Q3/2020,
Pakistan,GDP YoY Q3/2020,
South Africa,GDP YoY Q3/2020,
United Arab Emirates,GDP YoY Q3/2020,
Venezuela,GDP YoY Q3/2020,
Denmark,Inflation rate,0
European Union,Inflation rate,0
Finland,Inflation rate,0
France,Inflation rate,0
Germany,Inflation rate,0
Hong Kong,Inflation rate,0
Italy,Inflation rate,0
Japan,Inflation rate,0
Singapore,Inflation rate,0
Hong Kong,GDP QoQ Q2/2020,0
Norway,GDP YoY Q3/2020,0
Spain,Current Account Deficit (% of GDP - Q4/2019),2
Italy,Current Account Deficit (% of GDP - Q4/2019),3
South Africa,Current Account Deficit (% of GDP - Q4/2019),-3
Vietnam,Current Account Deficit (% of GDP - Q4/2019),5
Taiwan,Current Account Deficit (% of GDP - Q4/2019),10.5
India,GDP QoQ Q2/2020,-0.25
Poland,Current Account Deficit (% of GDP - Q4/2019),0.5
China,Current Account Deficit (% of GDP - Q4/2019),1
Switzerland,GDP YoY Q2/2020,-0.093
Thailand,GDP YoY Q2/2020,-0.122
Thailand,Inflation rate,-0.0041
Canada,GDP QoQ Q3/2020,0.09
Colombia,GDP QoQ Q3/2020,0.09
Germany,GDP QoQ Q3/2020,0.09
Netherlands,GDP QoQ Q2/2020,-0.09
Poland,GDP QoQ Q2/2020,-0.09
Hong Kong,GDP YoY Q2/2020,-0.09
Netherlands,GDP YoY Q2/2020,-0.09
Chile,GDP YoY Q3/2020,-0.09
Colombia,GDP YoY Q3/2020,-0.09
Mexico,GDP YoY Q3/2020,-0.09
Malaysia,GDP QoQ Q3/2020,0.18
Italy,GDP YoY Q2/2020,-0.18
Spain,GDP YoY Q3/2020,-0.087
South Africa,GDP YoY Q2/2020,-0.171
United States,GDP YoY Q3/2020,-0.029
Saudi Arabia,Inflation rate,0.058
