Dates,variable,value
2005-01-04,DXY Index,82.52
2005-01-05,DXY Index,82.54
2005-01-06,DXY Index,83.15
2005-01-07,DXY Index,83.6
2005-01-10,DXY Index,83.35
2005-01-11,DXY Index,83.07
2005-01-12,DXY Index,82.17
2005-01-13,DXY Index,82.51
2005-01-14,DXY Index,82.97
2005-01-17,DXY Index,83.24
2005-01-18,DXY Index,83.36
2005-01-19,DXY Index,83.6
2005-01-20,DXY Index,83.84
2005-01-21,DXY Index,83.26
2005-01-24,DXY Index,83.24
2005-01-25,DXY Index,83.99
2005-01-26,DXY Index,83.3
2005-01-27,DXY Index,83.43
2005-01-28,DXY Index,83.48
2005-01-31,DXY Index,83.57
2005-02-01,DXY Index,83.45
2005-02-02,DXY Index,83.54
2005-02-03,DXY Index,83.93
2005-02-04,DXY Index,84.39
2005-02-07,DXY Index,85.12
2005-02-08,DXY Index,85.1
2005-02-09,DXY Index,84.91
2005-02-10,DXY Index,84.54
2005-02-11,DXY Index,84.57
2005-02-14,DXY Index,83.96
2005-02-15,DXY Index,83.59
2005-02-16,DXY Index,83.67
2005-02-17,DXY Index,83.48
2005-02-18,DXY Index,83.49
2005-02-21,DXY Index,83.52
2005-02-22,DXY Index,82.41
2005-02-23,DXY Index,82.68
2005-02-24,DXY Index,82.9
2005-02-25,DXY Index,82.66
2005-02-28,DXY Index,82.51
2005-03-01,DXY Index,82.78
2005-03-02,DXY Index,83.08
2005-03-03,DXY Index,83.31
2005-03-04,DXY Index,82.52
2005-03-07,DXY Index,82.79
2005-03-08,DXY Index,81.98
2005-03-09,DXY Index,81.63
2005-03-10,DXY Index,81.59
2005-03-11,DXY Index,81.42
2005-03-14,DXY Index,81.97
2005-03-15,DXY Index,82.12
2005-03-16,DXY Index,81.59
2005-03-17,DXY Index,81.84
2005-03-18,DXY Index,82.05
2005-03-21,DXY Index,82.97
2005-03-22,DXY Index,83.36
2005-03-23,DXY Index,83.94
2005-03-24,DXY Index,84.13
2005-03-25,DXY Index,84.15
2005-03-28,DXY Index,84.51
2005-03-29,DXY Index,84.32
2005-03-30,DXY Index,84.29
2005-03-31,DXY Index,84.06
2005-04-01,DXY Index,84.43
2005-04-04,DXY Index,84.78
2005-04-05,DXY Index,84.66
2005-04-06,DXY Index,84.68
2005-04-07,DXY Index,84.87
2005-04-08,DXY Index,84.4
2005-04-11,DXY Index,84.22
2005-04-12,DXY Index,84.44
