Dates,variable,value
2020-01-02,BANK,622200.303
2020-01-03,BANK,657321.754
2020-01-06,BANK,702987.25
2020-01-07,BANK,724276.867
2020-01-08,BANK,738429.727
2020-01-09,BANK,731818.823
2020-01-10,BANK,726599.214
2020-01-13,BANK,733785.277
2020-01-14,BANK,730099.666
2020-01-15,BANK,727197.594
2020-01-16,BANK,719331.885
2020-01-17,BANK,725732.387
2020-01-20,BANK,720516.875
2020-01-21,BANK,720423.147
2020-01-22,BANK,733116.252
2020-01-23,BANK,747812.987
2020-01-24,BANK,749609.326
2020-01-27,BANK,742281.329
2020-01-28,BANK,751448.398
2020-01-29,BANK,742326.099
2020-01-30,BANK,738062.467
2020-01-31,BANK,739658.89
2020-02-03,BANK,745934.193
2020-02-04,BANK,752077.602
2020-02-05,BANK,751951.461
2020-02-06,BANK,772230.968
2020-02-07,BANK,768819.488
2020-02-10,BANK,768872.118
2020-02-11,BANK,766768.182
2020-02-12,BANK,772334.846
2020-02-13,BANK,776722.083
2020-02-14,BANK,778253.661
2020-02-17,BANK,775367.402
2020-02-18,BANK,770829.735
2020-02-19,BANK,773723.44
2020-02-20,BANK,787346.091
2020-02-21,BANK,792081.185
2020-02-24,BANK,799424.475
2020-02-25,BANK,799979.354
2020-02-26,BANK,800674.77
2020-02-27,BANK,805504.873
2020-02-28,BANK,804407.254
2020-03-02,BANK,811547.437
2020-03-03,BANK,817207.506
2020-03-04,BANK,819159.731
2020-03-05,BANK,829267.695
2020-03-06,BANK,830919.859
2020-03-09,BANK,826425.008
2020-03-10,BANK,833083.097
2020-03-11,BANK,825394.584
2020-03-12,BANK,831408.592
2020-03-13,BANK,819047.149
2020-03-16,BANK,780728.806
2020-03-17,BANK,757885.799
2020-03-18,BANK,761578.46
2020-03-19,BANK,785414.892
2020-03-20,BANK,784643.929
2020-03-23,BANK,775415.183
2020-03-24,BANK,777007.171
2020-03-26,BANK,755232.591
2020-03-27,BANK,757968.166
2020-03-30,BANK,751909.093
2020-03-31,BANK,763385.332
2020-04-01,BANK,770779.986
2020-04-02,BANK,780004.375
2020-04-03,BANK,775446.416
2020-04-06,BANK,777751.893
2020-04-07,BANK,776663.07
2020-04-08,BANK,783224.964
2020-04-09,BANK,796102.729
2020-04-13,BANK,790269.014
2020-04-14,BANK,790993.192
2020-04-15,BANK,791869.458
2020-04-16,BANK,790210.823
2020-04-17,BANK,800838.01
2020-04-20,BANK,796124.714
2020-04-21,BANK,787027.867
2020-04-22,BANK,790240.992
2020-04-23,BANK,801362.528
2020-04-24,BANK,803092.729
2020-04-27,BANK,806440.109
2020-04-28,BANK,799538.101
2020-04-29,BANK,794593.455
2020-04-30,BANK,816302.653
2020-05-04,BANK,922338.014
2020-05-05,BANK,925512.605
2020-05-06,BANK,926820.046
2020-05-08,BANK,906007.472
2020-05-11,BANK,890016.599
2020-05-12,BANK,886093.36
2020-05-13,BANK,882762.652
2020-05-14,BANK,901317.255
2020-05-15,BANK,883469.43
2020-05-18,BANK,880678.936
2020-05-19,BANK,900726.24
2020-05-20,BANK,949542.079
2020-05-26,BANK,925784.553
2020-05-27,BANK,912838.655
2020-05-28,BANK,910604.344
2020-05-29,BANK,949348.926
2020-06-02,BANK,934760.506
2020-06-03,BANK,924356.787
2020-06-04,BANK,944885.207
2020-06-05,BANK,939501.637
2020-06-08,BANK,960843.774
2020-06-09,BANK,979594.679
2020-06-10,BANK,974680.025
2020-06-11,BANK,991220.211
2020-06-12,BANK,997914.23
2020-06-15,BANK,1005257.807
2020-06-16,BANK,992175.627
2020-06-17,BANK,990507.065
2020-06-18,BANK,1020629.894
2020-06-19,BANK,1022499.241
2020-06-22,BANK,1032799.18
2020-06-23,BANK,1034130.573
2020-06-24,BANK,1037458.177
2020-06-25,BANK,1033168.532
2020-06-26,BANK,1029500.105
2020-06-29,BANK,1024582.801
2020-06-30,BANK,1034347.619
2020-07-01,BANK,1032739.651
2020-07-02,BANK,1042725.85
2020-07-03,BANK,1037696.404
2020-07-06,BANK,1039643.169
2020-07-07,BANK,1016407.396
2020-07-08,BANK,1007576.212
2020-07-09,BANK,1007712.943
2020-07-10,BANK,1008492.633
2020-07-13,BANK,1007934.981
2020-07-14,BANK,1003473.279
2020-07-15,BANK,1000248.028
2020-07-16,BANK,1027087.445
2020-07-17,BANK,1021630.44
2020-07-20,BANK,1023027.807
2020-07-21,BANK,1019457.839
2020-07-22,BANK,1010009.704
2020-07-23,BANK,1007585.079
2020-07-24,BANK,1001005.397
2020-07-27,BANK,977389.989
2020-07-28,BANK,977712.522
2020-07-29,BANK,985158.478
2020-07-30,BANK,989946.179
2020-08-03,BANK,980944.296
2020-08-04,BANK,983484.5
2020-08-05,BANK,982171.231
2020-08-06,BANK,988879.822
2020-08-07,BANK,988601.017
2020-08-10,BANK,985528.137
2020-08-11,BANK,985833.234
2020-08-12,BANK,981982.912
2020-08-13,BANK,999279.556
2020-08-14,BANK,999544.132
2020-08-18,BANK,1065355.798
2020-08-19,BANK,1122022.117
2020-08-24,BANK,1137919.603
2020-08-25,BANK,1098088.483
2020-08-26,BANK,1088275.252
2020-08-27,BANK,1136941.791
2020-08-28,BANK,1171981.42
2020-08-31,BANK,1197320.402
2020-09-01,BANK,1195817.475
2020-09-02,BANK,1221837.357
2020-09-03,BANK,1259520.923
2020-09-04,BANK,1268483.577
2020-09-07,BANK,1263642.529
2020-09-08,BANK,1257865.683
2020-09-09,BANK,1249653.976
2020-09-10,BANK,1250202.597
2020-09-11,BANK,1245313.368
2020-09-14,BANK,1222650.492
2020-09-15,BANK,1191954.103
2020-09-16,BANK,1173422.778
2020-09-17,BANK,1183466.605
2020-09-18,BANK,1224601.953
2020-09-21,BANK,1223733.877
2020-09-22,BANK,1207947.57
2020-09-23,BANK,1219119
2020-09-24,BANK,1262794
2020-09-25,BANK,1258018
2020-09-28,BANK,1263351
2020-09-29,BANK,1265781
2020-09-30,BANK,1288603
2020-10-01,BANK,1257487
2020-10-02,BANK,1247525
2020-10-05,BANK,1280930
2020-10-06,BANK,1280364
2020-10-07,BANK,1264637
2020-10-08,BANK,1251379
2020-10-09,BANK,1280714
2020-10-12,BANK,1313627
2020-10-13,BANK,1339946
2020-10-14,BANK,1388190
2020-10-15,BANK,1413328
2020-10-16,BANK,1396787
2020-10-19,BANK,1362972
2020-10-20,BANK,1353573
2020-10-21,BANK,1329544
2020-10-22,BANK,1348073
2020-10-23,BANK,1358728
2020-10-26,BANK,1385192
2020-10-27,BANK,1416966
2020-11-02,BANK,1422377
2020-11-03,BANK,1342914
2020-11-04,BANK,1422948
2020-11-05,BANK,1417526
2020-11-06,BANK,1440455
2020-11-09,BANK,1385623
2020-11-10,BANK,1376389
2020-11-11,BANK,1422237
2020-11-12,BANK,1351781
2020-11-13,BANK,1349922
2020-11-16,BANK,1422525
2020-11-17,BANK,1326878
2020-11-18,BANK,1440455
2020-11-19,BANK,1477262
2020-11-20,BANK,1485593
2020-11-23,BANK,1454515
2020-11-24,BANK,1451025
2020-11-25,BANK,1466283
2020-11-26,BANK,1460061
2020-11-27,BANK,1469966
2020-11-30,BANK,1453380
2020-12-01,BANK,1457571
2020-12-02,BANK,1468330
2020-12-03,BANK,1484553
2020-12-04,BANK,1487318
2020-01-02,TOTAL,2752740.858
2020-01-03,TOTAL,2752740.558
2020-01-06,TOTAL,2742740.558
2020-01-07,TOTAL,2742740.518
2020-01-08,TOTAL,2742740.518
2020-01-09,TOTAL,2762740.926
2020-01-10,TOTAL,2760190.526
2020-01-13,TOTAL,2760190.926
2020-01-14,TOTAL,2760190.926
2020-01-15,TOTAL,2760190.926
2020-01-16,TOTAL,2767190.926
2020-01-17,TOTAL,2767190.926
2020-01-20,TOTAL,2767190.751
2020-01-21,TOTAL,2767190.751
2020-01-22,TOTAL,2767190.926
2020-01-23,TOTAL,2781730.926
2020-01-24,TOTAL,2781730.816
2020-01-27,TOTAL,2781730.926
2020-01-28,TOTAL,2781730.926
2020-01-29,TOTAL,2781730.926
2020-01-30,TOTAL,2786730.926
2020-01-31,TOTAL,2786730.926
2020-02-03,TOTAL,2786730.576
2020-02-04,TOTAL,2786730.536
2020-02-05,TOTAL,2786730.926
2020-02-06,TOTAL,2805730.826
2020-02-07,TOTAL,2801480.926
2020-02-10,TOTAL,2801480.926
2020-02-11,TOTAL,2801480.926
2020-02-12,TOTAL,2801480.926
2020-02-13,TOTAL,2802280.926
2020-02-14,TOTAL,2802280.926
2020-02-17,TOTAL,2802280.926
2020-02-18,TOTAL,2802280.496
2020-02-19,TOTAL,2802280.926
2020-02-20,TOTAL,2818930.926
2020-02-21,TOTAL,2818930.926
2020-02-24,TOTAL,2818930.726
2020-02-25,TOTAL,2818930.926
2020-02-26,TOTAL,2818930.676
2020-02-27,TOTAL,2825930.926
