Dates,variable,value
2019-01-01,CPO,2004
2019-01-02,CPO,2070
2019-01-03,CPO,2090
2019-01-04,CPO,2120
2019-01-07,CPO,2092
2019-01-08,CPO,2109
2019-01-09,CPO,2104
2019-01-10,CPO,2087
2019-01-11,CPO,2093
2019-01-14,CPO,2062
2019-01-15,CPO,2130
2019-01-16,CPO,2090
2019-01-17,CPO,2121
2019-01-18,CPO,2142
2019-01-21,CPO,2142
2019-01-22,CPO,2163
2019-01-23,CPO,2191
2019-01-24,CPO,2200
2019-01-25,CPO,2190
2019-01-28,CPO,2222
2019-01-29,CPO,2194
2019-01-30,CPO,2204
2019-01-31,CPO,2200
2019-02-01,CPO,2200
2019-02-04,CPO,2207
2019-02-05,CPO,2207
2019-02-06,CPO,2207
2019-02-07,CPO,2216
2019-02-08,CPO,2190
2019-02-11,CPO,2195
2019-02-12,CPO,2181
2019-02-13,CPO,2176
2019-02-14,CPO,2200
2019-02-15,CPO,2200
2019-02-18,CPO,2206
2019-02-19,CPO,2155
2019-02-20,CPO,2134
2019-02-21,CPO,2145
2019-02-22,CPO,2138
2019-02-25,CPO,2020
2019-02-26,CPO,1982
2019-02-27,CPO,1920
2019-02-28,CPO,1915
2019-03-01,CPO,1986
2019-03-04,CPO,1978
2019-03-05,CPO,1992
2019-03-06,CPO,2000
2019-03-07,CPO,1973
2019-03-08,CPO,1971
2019-03-11,CPO,1962
2019-03-12,CPO,1980
2019-03-13,CPO,1956
2019-03-14,CPO,1950
2019-03-15,CPO,1950
2019-03-18,CPO,2025
2019-03-19,CPO,2060
2019-03-20,CPO,2095
2019-03-21,CPO,2090
2019-03-22,CPO,2090
2019-03-25,CPO,2062
2019-03-26,CPO,2036
2019-03-27,CPO,2031
2019-03-28,CPO,2013
2019-03-29,CPO,2001
2019-04-01,CPO,2009
2019-04-02,CPO,2037
2019-04-03,CPO,2070
2019-04-04,CPO,2100
2019-04-05,CPO,2129
2019-04-08,CPO,2111
2019-04-09,CPO,2120
2019-04-10,CPO,2056
2019-04-11,CPO,2040
2019-04-12,CPO,2038
2019-04-15,CPO,2100
2019-04-16,CPO,2105
2019-04-17,CPO,2130
2019-04-18,CPO,2107
2019-04-19,CPO,2108
2019-04-22,CPO,2090
2019-04-23,CPO,2079
2019-04-24,CPO,2079
2019-04-25,CPO,2050
2019-04-26,CPO,2013
2019-04-29,CPO,1997
2019-04-30,CPO,1982
2019-05-01,CPO,1982
2019-05-02,CPO,1919
2019-05-03,CPO,1900
2019-05-06,CPO,1877
2019-05-07,CPO,1931
2019-05-08,CPO,1922
2019-05-09,CPO,1910
2019-05-10,CPO,1920
2019-05-13,CPO,1927
2019-05-14,CPO,1957
2019-05-15,CPO,1957
2019-05-16,CPO,2061
2019-05-17,CPO,2049
2019-05-20,CPO,2049
2019-05-21,CPO,2008
2019-05-22,CPO,2008
2019-05-23,CPO,1974
2019-05-24,CPO,1976
2019-05-27,CPO,1987
2019-05-28,CPO,2018
2019-05-29,CPO,2044
2019-05-30,CPO,2020
2019-05-31,CPO,2030
2019-06-03,CPO,1994
2019-06-04,CPO,2030
2019-06-05,CPO,2030
2019-06-06,CPO,2030
2019-06-07,CPO,2003
2019-06-10,CPO,1971
2019-06-11,CPO,1986
2019-06-12,CPO,1951
2019-06-13,CPO,1989
2019-06-14,CPO,2000
2019-06-17,CPO,2023
2019-06-18,CPO,2005
2019-06-19,CPO,2026
2019-06-20,CPO,2004
2019-06-21,CPO,1998
2019-06-24,CPO,1967
