Dates,Kredit___DPK,Kredit___DPK_value,LDR
2010-01-01,DPK,,
2010-02-01,DPK,,
2010-03-01,DPK,,
2010-04-01,DPK,,
2010-05-01,DPK,,
2010-06-01,DPK,,
2010-07-01,DPK,,
2010-08-01,DPK,,
2010-09-01,DPK,,
2010-10-01,DPK,,
2010-11-01,DPK,,
2010-12-01,DPK,,
2011-01-01,DPK,,
2011-02-01,DPK,,
2011-03-01,DPK,,
2011-04-01,DPK,,
2011-05-01,DPK,,
2011-06-01,DPK,,
2011-07-01,DPK,,
2011-08-01,DPK,,
2011-09-01,DPK,,
2011-10-01,DPK,,
2011-11-01,DPK,,
2011-12-01,DPK,,
2012-01-01,DPK,,
2012-02-01,DPK,,
2012-03-01,DPK,,
2012-04-01,DPK,,
2012-05-01,DPK,,
2012-06-01,DPK,,
2012-07-01,DPK,,
2012-08-01,DPK,,
2012-09-01,DPK,,
2012-10-01,DPK,,
2012-11-01,DPK,,
2012-12-01,DPK,,
2013-01-01,DPK,3200556.8,
2013-02-01,DPK,3204996.45,
2013-03-01,DPK,3238244.22,
2013-04-01,DPK,3294711.47,
2013-05-01,DPK,3334968,
2013-06-01,DPK,3369675.39,
2013-07-01,DPK,3387991.52,
2013-08-01,DPK,3435188.06,
2013-09-01,DPK,3531115.13,
2013-10-01,DPK,3514821.71,
2013-11-01,DPK,3556418.62,
2013-12-01,DPK,3655698.05,
2014-01-01,DPK,3585823.11,
2014-02-01,DPK,3594657.45,
2014-03-01,DPK,3610456.78,
2014-04-01,DPK,3687169.13,
2014-05-01,DPK,3754145,
2014-06-01,DPK,3824027,
2014-07-01,DPK,3776377,
2014-08-01,DPK,3846060,
2014-09-01,DPK,3986569,
2014-10-01,DPK,4001373,
2014-11-01,DPK,4044651,
2014-12-01,DPK,4104699,
2015-01-01,DPK,4095898,
2015-02-01,DPK,4141806,
2015-03-01,DPK,4188058,
2015-04-01,DPK,4207048,
2015-05-01,DPK,4221080,
2015-06-01,DPK,4309347,
2015-07-01,DPK,4318548,
2015-08-01,DPK,4356283,
2015-09-01,DPK,4454117,
2015-10-01,DPK,4360585,
2015-11-01,DPK,4357480,
2015-12-01,DPK,4402202,
2016-01-01,DPK,4375023,
2016-02-01,DPK,4427799,
2016-03-01,DPK,4458560,
2016-04-01,DPK,4468524,
2016-05-01,DPK,4498249,
2016-06-01,DPK,4563773,
2016-07-01,DPK,4572501,
2016-08-01,DPK,4597733,
2016-09-01,DPK,4590743,
2016-10-01,DPK,4639811,
2016-11-01,DPK,4722636,
2016-12-01,DPK,4824318,
2017-01-01,DPK,4810872,
2017-02-01,DPK,4835180,
2017-03-01,DPK,4905726,
2017-04-01,DPK,4909480,
2017-05-01,DPK,5001687,
2017-06-01,DPK,5034299,
2017-07-01,DPK,5022600,
2017-08-01,DPK,5040611,
2017-09-01,DPK,5123793,
2017-10-01,DPK,5149366,
2017-11-01,DPK,5182111,
2017-12-01,DPK,5274262,
2018-01-01,DPK,5215171,
2018-02-01,DPK,5239243,
2018-03-01,DPK,5280703,
2018-04-01,DPK,5304454,
2018-05-01,DPK,5309997,
2018-06-01,DPK,5369574,
2018-07-01,DPK,5365850,
2018-08-01,DPK,5386162,
2018-09-01,DPK,5468998,
2018-10-01,DPK,5541716,
2018-11-01,DPK,5559979,
2018-12-01,DPK,5617509,
2019-01-01,DPK,5550959,
2019-02-01,DPK,5586751,
2019-03-01,DPK,5661010,
2019-04-01,DPK,5657408,
2019-05-01,DPK,5660025,
2019-06-01,DPK,5782227,
2019-07-01,DPK,5799563,
2019-08-01,DPK,5799595,
2019-09-01,DPK,5879840,
2019-10-01,DPK,5892394,
2019-11-01,DPK,5936022,
2019-12-01,DPK,5981803,
2020-01-01,DPK,5928000,
2020-02-01,DPK,6019000,
2020-03-01,DPK,6196000,
2020-04-01,DPK,6109000,
2020-05-01,DPK,6157000,
2020-06-01,DPK,6241906,
2020-07-01,DPK,6286000,
2020-08-01,DPK,6465000,
2020-09-01,DPK,6628000,
2020-10-01,DPK,6598000,
2020-10-02,Kredit,,
2011-11-01,Kredit,2150957.492,81
2016-09-01,Kredit,4212376.626,91.71043603
2018-01-01,Kredit,4632308.498,89.1036986
2016-05-01,Kredit,4070453.566,90.32401597
2012-01-01,Kredit,2184306.243,78.57022428
2020-05-01,Kredit,5585928.647,90.93792796
2020-09-01,Kredit,5530594.46,83.45598327
2016-04-01,Kredit,4006706.514,89.52205059
2012-05-01,Kredit,2386145.293,81.61143071
2019-07-01,Kredit,5452513.642,94.48020364
2017-08-01,Kredit,4488642.452,89.16898635
2018-04-01,Kredit,4778164.617,90.43238599
2010-10-01,Kredit,1675633,76.73
2011-01-01,Kredit,1746005.306,75.48
2017-05-01,Kredit,4425153.539,88.57398143
2017-10-01,Kredit,4560165.864,88.6807414
2019-08-01,Kredit,5464970.282,94.66231389
2013-11-01,Kredit,3214397.293,89.96565857
2010-07-01,Kredit,1597980,76.39
2012-03-01,Kredit,2266175,79.89
2014-01-01,Kredit,3258420.737,90.46619987
2020-04-01,Kredit,5609983.092,92.18195119
2014-02-01,Kredit,3267820.394,90.46925979
2013-02-01,Kredit,2718717.264,84.35267112
2017-06-01,Kredit,4491186.014,89.30925938
2017-03-01,Kredit,4369966.554,89.12333621
2014-09-01,Kredit,3561294.556,88.9301193
2010-03-01,Kredit,1456035,73.46
2011-08-01,Kredit,2031614.291,82.21
2010-12-01,Kredit,1765844,75.21
2010-05-01,Kredit,1531554,75.71
2014-04-01,Kredit,3361348.314,90.79087944
2014-11-01,Kredit,3596614.19,88.65137538
2014-03-01,Kredit,3306898.538,91.16620728
2015-04-01,Kredit,3711569.487,87.93797258
2013-09-01,Kredit,3147210.121,88.91158714
2014-05-01,Kredit,3403148.386,90.29522732
2016-12-01,Kredit,4377194.768,90.69964679
2020-03-01,Kredit,5712040.395,92.55187167
2013-01-01,Kredit,2688142.64,83.47330893
2010-11-01,Kredit,1706403,76.78
2011-10-01,Kredit,2106157.079,81.03
2012-07-01,Kredit,2470111.105,82.55241487
2019-12-01,Kredit,5616991.598,94.43357581
2012-08-01,Kredit,2510651.459,83.70142454
2015-08-01,Kredit,3881293.517,88.81477726
2019-04-01,Kredit,5305967.087,94.25404157
2015-05-01,Kredit,3757132.858,88.72448364
2018-03-01,Kredit,4743236.618,90.19258855
2016-01-01,Kredit,3983035.498,90.95494397
2019-11-01,Kredit,5524179.883,93.49938377
2017-02-01,Kredit,4308081.198,89.12169994
2013-03-01,Kredit,2768371.214,84.93473952
2010-08-01,Kredit,1640429,78.01
2017-09-01,Kredit,4543587.537,88.73633048
2011-06-01,Kredit,1950727.495,79.67
2017-07-01,Kredit,4469282.066,89.1968139
2012-06-01,Kredit,2452856.25,82.56609948
2019-10-01,Kredit,5506160.51,93.95506862
2012-10-01,Kredit,2585345.426,83.77744308
