Dates,variable,value,Rupiah,Rupiah_NDF_1Bulan
1/1/2019,Australia,0.7053,,
1/2/2019,Australia,0.6985,,
1/3/2019,Australia,0.7006,,
1/4/2019,Australia,0.7113,,
1/7/2019,Australia,0.7148,,
1/8/2019,Australia,0.714,,
1/9/2019,Australia,0.717,,
1/10/2019,Australia,0.7185,,
1/11/2019,Australia,0.7215,,
1/14/2019,Australia,0.7197,,
1/15/2019,Australia,0.7201,,
1/16/2019,Australia,0.7168,,
1/17/2019,Australia,0.7193,,
1/18/2019,Australia,0.7168,,
1/21/2019,Australia,0.7159,,
1/22/2019,Australia,0.7124,,
1/23/2019,Australia,0.7142,,
1/24/2019,Australia,0.7094,,
1/25/2019,Australia,0.7179,,
1/28/2019,Australia,0.7166,,
1/29/2019,Australia,0.7155,,
1/30/2019,Australia,0.7248,,
1/31/2019,Australia,0.7273,,
2/1/2019,Australia,0.725,,
2/4/2019,Australia,0.7226,,
2/5/2019,Australia,0.7234,,
2/6/2019,Australia,0.7105,,
2/7/2019,Australia,0.7101,,
2/8/2019,Australia,0.7088,,
2/11/2019,Australia,0.7062,,
2/12/2019,Australia,0.7095,,
2/13/2019,Australia,0.709,,
2/14/2019,Australia,0.7106,,
2/15/2019,Australia,0.7141,,
2/18/2019,Australia,0.713,,
2/19/2019,Australia,0.7165,,
2/20/2019,Australia,0.7165,,
2/21/2019,Australia,0.7092,,
2/22/2019,Australia,0.7129,,
2/25/2019,Australia,0.7167,,
2/26/2019,Australia,0.7186,,
2/27/2019,Australia,0.7138,,
2/28/2019,Australia,0.7094,,
3/1/2019,Australia,0.7079,,
3/4/2019,Australia,0.7092,,
3/5/2019,Australia,0.7084,,
3/6/2019,Australia,0.7032,,
3/7/2019,Australia,0.7016,,
3/8/2019,Australia,0.7045,,
3/11/2019,Australia,0.707,,
3/12/2019,Australia,0.7082,,
3/13/2019,Australia,0.7094,,
3/14/2019,Australia,0.7064,,
3/15/2019,Australia,0.7085,,
3/18/2019,Australia,0.7104,,
3/19/2019,Australia,0.7088,,
3/20/2019,Australia,0.7116,,
3/21/2019,Australia,0.7112,,
3/22/2019,Australia,0.7083,,
3/25/2019,Australia,0.7112,,
3/26/2019,Australia,0.7135,,
3/27/2019,Australia,0.7084,,
3/28/2019,Australia,0.7074,,
3/29/2019,Australia,0.7096,,
4/1/2019,Australia,0.7112,,
4/2/2019,Australia,0.7071,,
4/3/2019,Australia,0.7113,,
4/4/2019,Australia,0.7112,,
4/5/2019,Australia,0.7105,,
4/8/2019,Australia,0.7127,,
4/9/2019,Australia,0.7124,,
4/10/2019,Australia,0.7171,,
4/11/2019,Australia,0.7124,,
4/12/2019,Australia,0.7173,,
4/15/2019,Australia,0.7173,,
4/16/2019,Australia,0.7175,,
4/17/2019,Australia,0.7179,,
4/18/2019,Australia,0.7151,,
4/19/2019,Australia,0.7152,,
4/22/2019,Australia,0.7134,,
4/23/2019,Australia,0.7102,,
4/24/2019,Australia,0.7015,,
4/25/2019,Australia,0.7015,,
4/26/2019,Australia,0.7042,,
4/29/2019,Australia,0.7056,,
4/30/2019,Australia,0.7048,,
5/1/2019,Australia,0.7015,,
5/2/2019,Australia,0.7,,
5/3/2019,Australia,0.7018,,
5/6/2019,Australia,0.6991,,
5/7/2019,Australia,0.7012,,
5/8/2019,Australia,0.6988,,
5/9/2019,Australia,0.6989,,
5/10/2019,Australia,0.7002,,
5/13/2019,Australia,0.6944,,
5/14/2019,Australia,0.6944,,
5/15/2019,Australia,0.6928,,
5/16/2019,Australia,0.6892,,
5/17/2019,Australia,0.6868,,
5/20/2019,Australia,0.6908,,
5/21/2019,Australia,0.6883,,
5/22/2019,Australia,0.6882,,
5/23/2019,Australia,0.6901,,
5/24/2019,Australia,0.6927,,
5/27/2019,Australia,0.6918,,
5/28/2019,Australia,0.6924,,
5/29/2019,Australia,0.6917,,
5/30/2019,Australia,0.6912,,
5/31/2019,Australia,0.6938,,
6/3/2019,Australia,0.6977,,
6/4/2019,Australia,0.6991,,
6/5/2019,Australia,0.697,,
6/6/2019,Australia,0.6977,,
6/7/2019,Australia,0.7001,,
6/10/2019,Australia,0.6961,,
6/11/2019,Australia,0.6962,,
6/12/2019,Australia,0.6928,,
6/13/2019,Australia,0.6915,,
6/14/2019,Australia,0.6872,,
6/17/2019,Australia,0.6853,,
6/18/2019,Australia,0.6877,,
6/19/2019,Australia,0.6881,,
6/20/2019,Australia,0.6923,,
6/21/2019,Australia,0.6926,,
6/24/2019,Australia,0.6963,,
6/25/2019,Australia,0.6961,,
6/26/2019,Australia,0.6985,,
6/27/2019,Australia,0.7009,,
6/28/2019,Australia,0.702,,
7/1/2019,Australia,0.6966,,
7/2/2019,Australia,0.6994,,
7/3/2019,Australia,0.7029,,
7/4/2019,Australia,0.7022,,
7/5/2019,Australia,0.698,,
7/8/2019,Australia,0.6972,,
7/9/2019,Australia,0.6928,,
7/10/2019,Australia,0.6959,,
7/11/2019,Australia,0.6974,,
7/12/2019,Australia,0.702,,
7/15/2019,Australia,0.7039,,
7/16/2019,Australia,0.7012,,
7/17/2019,Australia,0.701,,
7/18/2019,Australia,0.7075,,
7/19/2019,Australia,0.7042,,
7/22/2019,Australia,0.7036,,
7/23/2019,Australia,0.7005,,
7/24/2019,Australia,0.6977,,
7/25/2019,Australia,0.6951,,
7/26/2019,Australia,0.6911,,
7/29/2019,Australia,0.6902,,
7/30/2019,Australia,0.6872,,
7/31/2019,Australia,0.6845,,
8/1/2019,Australia,0.68,,
8/2/2019,Australia,0.6801,,
8/5/2019,Australia,0.6756,,
8/6/2019,Australia,0.6761,,
8/7/2019,Australia,0.6757,,
8/8/2019,Australia,0.6802,,
8/9/2019,Australia,0.6786,,
8/12/2019,Australia,0.6752,,
8/13/2019,Australia,0.6799,,
8/14/2019,Australia,0.6748,,
8/15/2019,Australia,0.6775,,
8/16/2019,Australia,0.6779,,
8/19/2019,Australia,0.6764,,
8/20/2019,Australia,0.6778,,
8/21/2019,Australia,0.6781,,
8/22/2019,Australia,0.6757,,
8/23/2019,Australia,0.6756,,
8/26/2019,Australia,0.6775,,
8/27/2019,Australia,0.6752,,
8/28/2019,Australia,0.6734,,
8/29/2019,Australia,0.6728,,
8/30/2019,Australia,0.6733,,
9/2/2019,Australia,0.6716,,
9/3/2019,Australia,0.676,,
9/4/2019,Australia,0.6797,,
9/5/2019,Australia,0.6815,,
9/6/2019,Australia,0.6846,,
9/9/2019,Australia,0.6862,,
9/10/2019,Australia,0.6861,,
9/11/2019,Australia,0.6862,,
9/12/2019,Australia,0.6866,,
9/13/2019,Australia,0.6879,,
9/16/2019,Australia,0.6865,,
9/17/2019,Australia,0.6866,,
9/18/2019,Australia,0.6828,,
9/19/2019,Australia,0.6792,,
9/20/2019,Australia,0.6766,,
9/23/2019,Australia,0.6773,,
9/24/2019,Australia,0.6801,,
9/25/2019,Australia,0.6751,,
9/26/2019,Australia,0.6749,,
9/27/2019,Australia,0.6764,,
9/30/2019,Australia,0.675,,
10/1/2019,Australia,0.6704,,
10/2/2019,Australia,0.6707,,
10/3/2019,Australia,0.6742,,
10/4/2019,Australia,0.6771,,
10/7/2019,Australia,0.6733,,
10/8/2019,Australia,0.6728,,
10/9/2019,Australia,0.6725,,
10/10/2019,Australia,0.6761,,
10/11/2019,Australia,0.6794,,
10/14/2019,Australia,0.6775,,
10/15/2019,Australia,0.6753,,
10/16/2019,Australia,0.6759,,
10/17/2019,Australia,0.6824,,
10/18/2019,Australia,0.6856,,
10/21/2019,Australia,0.6868,,
10/22/2019,Australia,0.6855,,
10/23/2019,Australia,0.6853,,
10/24/2019,Australia,0.6819,,
10/25/2019,Australia,0.6823,,
10/28/2019,Australia,0.6838,,
10/29/2019,Australia,0.6865,,
10/30/2019,Australia,0.6903,,
10/31/2019,Australia,0.6894,,
11/1/2019,Australia,0.6904,,
11/4/2019,Australia,0.6884,,
11/5/2019,Australia,0.6893,,
11/6/2019,Australia,0.6884,,
11/7/2019,Australia,0.6898,,
11/8/2019,Australia,0.6863,,
11/11/2019,Australia,0.6851,,
11/12/2019,Australia,0.6841,,
11/13/2019,Australia,0.6838,,
11/14/2019,Australia,0.6786,,
11/15/2019,Australia,0.6817,,
11/18/2019,Australia,0.6811,,
11/19/2019,Australia,0.6828,,
11/20/2019,Australia,0.6803,,
11/21/2019,Australia,0.6787,,
11/22/2019,Australia,0.6786,,
11/25/2019,Australia,0.6779,,
11/26/2019,Australia,0.6788,,
11/27/2019,Australia,0.6776,,
11/28/2019,Australia,0.677,,
11/29/2019,Australia,0.6763,,
12/2/2019,Australia,0.6819,,
12/3/2019,Australia,0.6847,,
12/4/2019,Australia,0.6849,,
12/5/2019,Australia,0.6834,,
12/6/2019,Australia,0.6841,,
12/9/2019,Australia,0.6823,,
12/10/2019,Australia,0.6809,,
12/11/2019,Australia,0.6876,,
12/12/2019,Australia,0.6909,,
