Dates,category,variable,value
2018-08-01,DPK,BUKU 1,-7.56
2018-09-01,DPK,BUKU 1,-7.03
2018-10-01,DPK,BUKU 1,-7.63
2018-11-01,DPK,BUKU 1,-4.76
2018-12-01,DPK,BUKU 1,-2.98
2019-01-01,DPK,BUKU 1,1.13
2019-02-01,DPK,BUKU 1,-3.41
2019-03-01,DPK,BUKU 1,-1.39
2019-04-01,DPK,BUKU 1,-0.87
2019-05-01,DPK,BUKU 1,-3.75
2019-06-01,DPK,BUKU 1,4.45
2019-07-01,DPK,BUKU 1,6.94
2019-08-01,DPK,BUKU 1,10.6
2019-09-01,DPK,BUKU 1,10.24
2019-10-01,DPK,BUKU 1,15.02
2019-11-01,DPK,BUKU 1,13.25
2019-12-01,DPK,BUKU 1,13.47
2020-01-01,DPK,BUKU 1,6.09
2020-02-01,DPK,BUKU 1,4.58
2020-03-01,DPK,BUKU 1,-0.68
2020-04-01,DPK,BUKU 1,-5.86
2020-05-01,DPK,BUKU 1,-3.44
2020-06-01,DPK,BUKU 1,-8.8
2020-07-01,DPK,BUKU 1,-12.19
2018-08-01,DPK,BUKU 2,2.39
2018-09-01,DPK,BUKU 2,1.08
2018-10-01,DPK,BUKU 2,1.56
2018-11-01,DPK,BUKU 2,0.58
2018-12-01,DPK,BUKU 2,3.61
2019-01-01,DPK,BUKU 2,3.62
2019-02-01,DPK,BUKU 2,4.4
2019-03-01,DPK,BUKU 2,4.37
2019-04-01,DPK,BUKU 2,3.75
2019-05-01,DPK,BUKU 2,2.09
2019-06-01,DPK,BUKU 2,7.48
2019-07-01,DPK,BUKU 2,9.54
2019-08-01,DPK,BUKU 2,9.69
2019-09-01,DPK,BUKU 2,9.68
2019-10-01,DPK,BUKU 2,10.01
2019-11-01,DPK,BUKU 2,10.68
2019-12-01,DPK,BUKU 2,10.34
2020-01-01,DPK,BUKU 2,8.39
2020-02-01,DPK,BUKU 2,7.62
2020-03-01,DPK,BUKU 2,6.88
2020-04-01,DPK,BUKU 2,5.75
2020-05-01,DPK,BUKU 2,7.27
2020-06-01,DPK,BUKU 2,4
2020-07-01,DPK,BUKU 2,3.08
2018-08-01,DPK,BUKU 3,5.46
2018-09-01,DPK,BUKU 3,5.25
2018-10-01,DPK,BUKU 3,5.77
2018-11-01,DPK,BUKU 3,6.34
2018-12-01,DPK,BUKU 3,6.93
2019-01-01,DPK,BUKU 3,6.17
2019-02-01,DPK,BUKU 3,5.54
2019-03-01,DPK,BUKU 3,4.73
2019-04-01,DPK,BUKU 3,4.44
2019-05-01,DPK,BUKU 3,4.82
2019-06-01,DPK,BUKU 3,5.47
2019-07-01,DPK,BUKU 3,7.41
2019-08-01,DPK,BUKU 3,7.26
2019-09-01,DPK,BUKU 3,6.48
2019-10-01,DPK,BUKU 3,5.29
2019-11-01,DPK,BUKU 3,3.52
2019-12-01,DPK,BUKU 3,3.11
2020-01-01,DPK,BUKU 3,3.12
2020-02-01,DPK,BUKU 3,4.51
2020-03-01,DPK,BUKU 3,7.88
2020-04-01,DPK,BUKU 3,5.41
2020-05-01,DPK,BUKU 3,5.12
2020-06-01,DPK,BUKU 3,2.49
2020-07-01,DPK,BUKU 3,2.99
2018-08-01,DPK,BUKU 4,8.9
2018-09-01,DPK,BUKU 4,8.84
2018-10-01,DPK,BUKU 4,10.29
2018-11-01,DPK,BUKU 4,9.39
2018-12-01,DPK,BUKU 4,6.92
2019-01-01,DPK,BUKU 4,7.2
2019-02-01,DPK,BUKU 4,7.76
2019-03-01,DPK,BUKU 4,9.31
2019-04-01,DPK,BUKU 4,8.64
