Dates,variable,value
2020-01-02,Foreign Net Flow,170.022
2020-01-03,Foreign Net Flow,773.731
2020-01-06,Foreign Net Flow,-48.378
2020-01-07,Foreign Net Flow,72.833
2020-01-08,Foreign Net Flow,-0.089
2020-01-09,Foreign Net Flow,887.902
2020-01-10,Foreign Net Flow,95.17
2020-01-13,Foreign Net Flow,251.55
2020-01-14,Foreign Net Flow,967.582
2020-01-15,Foreign Net Flow,79.566
2020-01-16,Foreign Net Flow,-731.835
2020-01-17,Foreign Net Flow,197.164
2020-01-20,Foreign Net Flow,-668.708
2020-01-21,Foreign Net Flow,222.721
2020-01-22,Foreign Net Flow,290.183
2020-01-23,Foreign Net Flow,-297.159
2020-01-24,Foreign Net Flow,125.173
2020-01-27,Foreign Net Flow,161.024
2020-01-28,Foreign Net Flow,-469.608
2020-01-29,Foreign Net Flow,69.27
2020-01-30,Foreign Net Flow,-261.756
2020-01-31,Foreign Net Flow,-1852.78
2020-02-03,Foreign Net Flow,-812.401
2020-02-04,Foreign Net Flow,143.456
2020-02-05,Foreign Net Flow,557.541
2020-02-06,Foreign Net Flow,294.687
2020-02-07,Foreign Net Flow,-40.074
2020-02-10,Foreign Net Flow,330.317
2020-02-11,Foreign Net Flow,226.135
2020-02-12,Foreign Net Flow,477.713
2020-02-13,Foreign Net Flow,48.55
2020-02-14,Foreign Net Flow,-358.853
2020-02-17,Foreign Net Flow,-755.812
2020-02-18,Foreign Net Flow,-259.764
2020-02-19,Foreign Net Flow,105.538
2020-02-20,Foreign Net Flow,-168.419
2020-02-21,Foreign Net Flow,-383.209
2020-02-24,Foreign Net Flow,-505.455
2020-02-25,Foreign Net Flow,-846.528
2020-02-26,Foreign Net Flow,-1747.17
2020-02-27,Foreign Net Flow,-1046.06
2020-02-28,Foreign Net Flow,-17.212
2020-03-02,Foreign Net Flow,-291.236
2020-03-03,Foreign Net Flow,-241.301
2020-03-04,Foreign Net Flow,-61.79
2020-03-05,Foreign Net Flow,144.821
2020-03-06,Foreign Net Flow,-1310.44
2020-03-09,Foreign Net Flow,218.006
2020-03-10,Foreign Net Flow,-857.485
2020-03-11,Foreign Net Flow,171.813
2020-03-12,Foreign Net Flow,-256.569
2020-03-13,Foreign Net Flow,-575.844
2020-03-16,Foreign Net Flow,238.106
2020-03-17,Foreign Net Flow,-1006.75
2020-03-18,Foreign Net Flow,-258.472
2020-03-19,Foreign Net Flow,-636.246
2020-03-20,Foreign Net Flow,-794.066
2020-03-23,Foreign Net Flow,36.637
2020-03-24,Foreign Net Flow,-631.414
