Dates,variable,value
2019-01-02,CAC,4730.69
2019-01-03,CAC,4689.39
2019-01-04,CAC,4611.49
2019-01-07,CAC,4737.12
2019-01-08,CAC,4719.17
2019-01-09,CAC,4773.27
2019-01-10,CAC,4813.58
2019-01-11,CAC,4805.66
2019-01-14,CAC,4781.34
2019-01-15,CAC,4762.75
2019-01-16,CAC,4786.17
2019-01-17,CAC,4810.74
2019-01-18,CAC,4794.37
2019-01-21,CAC,4875.93
2019-01-22,CAC,4867.78
2019-01-23,CAC,4847.53
2019-01-24,CAC,4840.38
2019-01-25,CAC,4871.96
2019-01-28,CAC,4925.82
2019-01-29,CAC,4888.58
2019-01-30,CAC,4928.18
2019-01-31,CAC,4974.76
2019-02-01,CAC,4992.72
2019-02-04,CAC,5019.26
2019-02-05,CAC,5000.19
2019-02-06,CAC,5083.34
2019-02-07,CAC,5079.05
2019-02-08,CAC,4985.56
2019-02-11,CAC,4961.64
2019-02-12,CAC,5014.47
2019-02-13,CAC,5056.35
2019-02-14,CAC,5074.27
2019-02-15,CAC,5062.52
2019-02-18,CAC,5153.19
2019-02-19,CAC,5168.54
2019-02-20,CAC,5160.52
2019-02-21,CAC,5195.95
2019-02-22,CAC,5196.11
2019-02-25,CAC,5215.85
2019-02-26,CAC,5231.85
2019-02-27,CAC,5238.72
2019-02-28,CAC,5225.35
2019-03-01,CAC,5240.53
2019-03-04,CAC,5265.19
2019-03-05,CAC,5286.57
2019-03-06,CAC,5297.52
2019-03-07,CAC,5288.81
2019-03-08,CAC,5267.92
2019-03-11,CAC,5231.22
2019-03-12,CAC,5265.96
2019-03-13,CAC,5270.25
2019-03-14,CAC,5306.38
2019-03-15,CAC,5349.78
2019-03-18,CAC,5405.32
2019-03-19,CAC,5412.83
2019-03-20,CAC,5425.9
2019-03-21,CAC,5382.66
2019-03-22,CAC,5378.85
2019-03-25,CAC,5269.92
2019-03-26,CAC,5260.64
2019-03-27,CAC,5307.38
2019-03-28,CAC,5301.24
2019-03-29,CAC,5296.54
2019-04-01,CAC,5350.53
2019-04-02,CAC,5405.53
2019-04-03,CAC,5423.47
2019-04-04,CAC,5468.91
2019-04-05,CAC,5463.8
2019-04-08,CAC,5476.2
2019-04-09,CAC,5471.78
2019-04-10,CAC,5436.42
2019-04-11,CAC,5449.88
2019-04-12,CAC,5485.72
2019-04-15,CAC,5502.7
2019-04-16,CAC,5508.73
2019-04-17,CAC,5528.67
2019-04-18,CAC,5563.09
2019-04-19,CAC,5580.38
2019-04-22,CAC,5580.38
2019-04-23,CAC,5580.38
2019-04-24,CAC,5591.69
2019-04-25,CAC,5576.06
2019-04-26,CAC,5557.67
2019-04-29,CAC,5569.36
2019-04-30,CAC,5580.98
2019-05-01,CAC,5586.41
2019-05-02,CAC,5586.41
2019-05-03,CAC,5538.86
2019-05-06,CAC,5548.84
2019-05-07,CAC,5483.52
2019-05-08,CAC,5395.75
2019-05-09,CAC,5417.59
2019-05-10,CAC,5313.16
2019-05-13,CAC,5327.44
2019-05-14,CAC,5262.57
